Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Jun-2024,04-Jul-2024,CE,25800.00,1.10,1.30,0.65,1.10,1.00,1.10,193629.00,1248953.07,46.02,855650.00,855650.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,24400.00,39.10,75.00,29.90,34.65,31.80,34.65,1896214.00,11590501.65,23596.25,2800700.00,1073625.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,24450.00,30.00,60.00,23.10,26.65,24.00,26.65,861137.00,5272155.14,8455.23,1332300.00,811025.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,24500.00,25.05,47.60,17.45,20.10,18.45,20.10,2587383.00,15867105.88,19385.01,5545900.00,2926175.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21350.00,-,-,-,2610.00,2610.00,2685.55,-,-,-,2375.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22450.00,-,-,-,1525.00,1525.00,1586.95,-,-,-,2650.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,23450.00,680.20,750.50,618.00,638.75,631.90,638.75,975.00,5888.85,172.91,35900.00,-10700.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20150.00,-,-,-,3845.25,3845.25,3884.15,-,-,-,100.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21400.00,-,-,-,2600.00,2600.00,2635.60,-,-,-,1300.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21450.00,2754.90,2754.90,2540.20,2647.55,2540.20,2647.55,4.00,24.10,2.65,575.00,50.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22500.00,1573.00,1678.00,1538.00,1560.60,1562.20,1560.60,1238.00,7465.06,501.31,118450.00,300.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,23500.00,579.00,702.75,560.00,584.95,584.00,584.95,29034.00,175136.76,4562.01,618900.00,-28050.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20200.00,3929.40,3929.40,3910.35,3910.35,3910.35,3834.20,2.00,12.06,1.96,300.00,25.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21500.00,2600.00,2655.85,2550.00,2560.90,2560.00,2560.90,181.00,1090.74,117.86,8250.00,600.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22550.00,1627.00,1627.00,1510.05,1525.00,1525.00,1487.20,4.00,24.09,1.54,2275.00,-75.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,23550.00,577.05,657.60,516.65,540.35,533.70,540.35,4531.00,27360.27,684.01,62325.00,-5250.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20250.00,3800.00,3800.00,3800.00,3800.00,3800.00,3784.25,1.00,6.01,0.95,125.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20300.00,-,-,-,3288.80,3296.20,3734.35,-,-,-,125.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21550.00,-,-,-,2228.65,2228.20,2485.80,-,-,-,675.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21600.00,-,-,-,2445.85,2451.00,2435.85,-,-,-,575.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22600.00,1510.00,1580.00,1490.00,1500.00,1490.00,1500.00,45.00,271.18,16.93,13300.00,-1025.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22650.00,-,-,-,1281.15,1281.15,1387.60,-,-,-,1800.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,23600.00,504.00,612.00,470.00,498.05,488.55,498.05,16127.00,97362.87,2213.57,347900.00,-38225.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,23650.00,465.80,565.00,430.00,453.70,446.35,453.70,5626.00,33972.21,708.49,71125.00,-10425.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20350.00,-,-,-,3233.70,3238.55,3684.40,-,-,-,150.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20400.00,-,-,-,3193.50,3193.05,3634.45,-,-,-,125.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21650.00,-,-,-,2129.10,2128.60,2385.90,-,-,-,625.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22700.00,1421.30,1480.00,1360.00,1382.55,1382.55,1382.55,124.00,748.40,44.70,17850.00,-1625.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,23700.00,433.30,522.30,382.00,399.35,402.95,399.35,58997.00,356045.13,6487.90,551025.00,-152325.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20450.00,-,-,-,3143.70,3143.25,3584.50,-,-,-,125.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20500.00,3663.90,3663.90,3554.20,3593.00,3593.00,3534.55,14.00,84.53,12.78,1100.00,275.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21700.00,-,-,-,2312.00,2312.00,2335.95,-,-,-,975.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22750.00,1444.40,1444.40,1444.10,1444.10,1444.10,1288.20,2.00,12.10,0.72,2475.00,-50.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,23750.00,394.95,478.50,343.15,367.45,361.50,367.45,12598.00,76087.66,1287.04,99250.00,-425.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20550.00,-,-,-,3040.30,3045.15,3484.60,-,-,-,250.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20600.00,-,-,-,3370.00,3370.00,3434.70,-,-,-,175.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21750.00,-,-,-,2305.75,2353.20,2286.05,-,-,-,3425.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,21800.00,2250.00,2310.00,2250.00,2310.00,2310.00,2236.10,5.00,30.10,2.85,2300.00,125.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22800.00,1314.30,1388.30,1250.80,1268.65,1271.15,1268.65,263.00,1587.01,87.91,40425.00,-4825.00,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,22850.00,-,-,-,1205.30,1202.45,1189.15,-,-,-,2000.00,-,24010.60
NIFTY,28-Jun-2024,04-Jul-2024,CE,20650.00,3422.65,3422.65,3422.65,3422.65,3422.65,3384.75,1.00,6.02,0.86,250.00,25.00,24010.60
