Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Mar-2024,28-Mar-2024,CE,20450.00,1798.10,2014.70,1770.25,2011.00,2011.00,22326.90,88.00,979.15,79.35,1300.00,700.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20950.00,1504.95,1504.95,1333.10,1381.95,1360.00,22326.90,35.00,390.87,24.25,1000.00,100.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22450.00,1.60,89.00,0.05,3.10,0.10,22326.90,25583071.00,287429799.29,259827.32,8248350.00,2399650.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22900.00,0.30,0.40,0.05,0.10,0.05,22326.90,373783.00,4279856.81,41.46,1466200.00,-366700.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,24000.00,0.30,0.30,0.05,0.10,0.05,22326.90,103186.00,1238238.87,6.87,2850700.00,-1430700.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,18000.00,4200.15,4537.70,4200.15,4343.55,4333.30,22326.90,3845.00,43028.96,8423.96,197850.00,-14800.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20000.00,2194.00,2533.10,2190.00,2326.70,2330.45,22326.90,5440.00,60852.63,6452.63,200600.00,-157900.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20500.00,1730.00,2027.00,1725.00,1832.30,1830.70,22326.90,1737.00,19438.94,1634.69,77650.00,-10550.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,21900.00,276.00,630.00,276.00,439.65,428.15,22326.90,36211.00,404219.88,7709.43,550700.00,-318600.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23400.00,0.25,0.45,0.05,0.10,0.05,22326.90,91074.00,1065571.44,5.64,503450.00,-228700.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22650.00,0.45,3.50,0.05,0.15,0.05,22326.90,9010939.00,102051875.00,2990.82,10813500.00,7335500.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23100.00,0.20,0.35,0.05,0.10,0.05,22326.90,85633.00,989068.15,7.00,656900.00,-170850.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,27000.00,0.15,0.15,0.05,0.05,0.05,22326.90,25493.00,344156.72,1.22,672550.00,-330150.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,19650.00,-,-,-,2564.00,2564.00,22326.90,-,-,-,800.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20200.00,2024.00,2320.10,2024.00,2160.40,2129.70,22326.90,336.00,3762.92,369.32,2900.00,-11750.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20700.00,1500.05,1819.00,1500.00,1609.70,1626.90,22326.90,412.00,4613.44,349.24,4200.00,-10200.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,21650.00,543.25,878.45,543.25,693.50,678.00,22326.90,804.00,8986.61,283.31,31250.00,-12650.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22100.00,113.15,434.70,102.80,221.30,228.10,22326.90,951414.00,10607634.88,94510.18,4402950.00,-2581300.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23650.00,0.20,0.50,0.05,0.15,0.05,22326.90,22030.00,260506.32,1.57,41450.00,12350.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,19700.00,2532.90,2845.60,2532.90,2648.95,2631.95,22326.90,48.00,538.06,65.26,3450.00,-1000.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20250.00,2100.00,2240.00,2100.00,2240.00,2240.00,22326.90,8.00,89.78,8.78,500.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,21200.00,1090.00,1333.85,1072.00,1127.25,1127.00,22326.90,929.00,10397.12,549.72,98650.00,-3100.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22700.00,0.35,2.05,0.05,0.15,0.05,22326.90,5655432.00,64190484.31,1331.11,10942450.00,6497300.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23150.00,0.25,0.30,0.05,0.15,0.05,22326.90,44714.00,517568.20,3.65,171250.00,-31400.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23700.00,0.20,0.40,0.05,0.10,0.05,22326.90,19998.00,236977.55,1.25,123250.00,-25950.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,19750.00,-,-,-,2251.50,2251.50,22326.90,-,-,-,200.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20750.00,1615.00,1701.30,1577.05,1590.90,1577.05,22326.90,11.00,123.08,8.96,2250.00,-250.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,21700.00,494.50,828.25,488.85,630.30,628.75,22326.90,5654.00,63177.83,1831.93,90200.00,-80500.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22150.00,76.65,383.90,67.55,164.90,177.50,22326.90,1385308.00,15440040.27,97754.17,2970400.00,-2135800.00,22326.90
NIFTY,28-Mar-2024,04-Apr-2024,CE,23900.00,1.25,3.30,1.00,2.30,1.75,2.30,12513.00,149544.12,13.77,220900.00,202750.00,22326.90
NIFTY,28-Mar-2024,04-Apr-2024,CE,23950.00,1.15,3.60,0.90,2.60,1.60,2.60,8847.00,105953.83,11.01,142250.00,130000.00,22326.90
NIFTY,28-Mar-2024,04-Apr-2024,CE,24000.00,1.15,2.00,1.00,1.65,1.60,1.65,115117.00,1381492.36,88.36,3328150.00,2712800.00,22326.90
NIFTY,28-Mar-2024,04-Apr-2024,CE,24050.00,0.95,3.75,0.85,2.75,1.65,2.75,5143.00,61851.28,6.71,100250.00,94150.00,22326.90
NIFTY,28-Mar-2024,04-Apr-2024,CE,24100.00,1.10,3.00,1.00,2.30,1.60,2.30,11184.00,134779.33,12.13,214450.00,199100.00,22326.90
NIFTY,28-Mar-2024,04-Apr-2024,CE,24150.00,1.05,3.50,0.95,2.50,1.60,2.50,7246.00,87504.31,8.86,133300.00,126950.00,22326.90
NIFTY,28-Mar-2024,04-Apr-2024,CE,24200.00,1.00,2.55,0.80,1.85,1.35,1.85,17670.00,213821.19,14.19,390900.00,354000.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23200.00,0.20,0.30,0.05,0.10,0.05,22326.90,107565.00,1247762.60,8.60,773650.00,21550.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23750.00,0.20,0.50,0.05,0.10,0.05,22326.90,12296.00,146015.89,0.89,42600.00,10250.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,14000.00,8231.00,8526.10,8231.00,8317.20,8329.10,22326.90,2581.00,28912.09,10845.09,46150.00,-72750.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20300.00,1921.00,2244.40,1921.00,2067.85,2035.00,22326.90,104.00,1167.13,111.53,2800.00,-1550.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20800.00,1427.00,1730.00,1427.00,1551.65,1529.60,22326.90,296.00,3314.05,235.65,7550.00,-5600.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,21250.00,1270.00,1270.00,1023.45,1086.25,1075.05,22326.90,71.00,793.03,38.66,4700.00,150.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22200.00,54.00,332.40,34.50,116.55,127.45,22326.90,4593384.00,51239743.12,253180.72,5751250.00,-3048700.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,22750.00,0.35,0.85,0.05,0.10,0.05,22326.90,2021787.00,22998148.00,320.88,3159350.00,2003000.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,15000.00,7382.00,7536.55,7310.00,7360.25,7338.90,22326.90,212.00,2374.52,784.52,9400.00,-2050.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,19800.00,2432.90,2725.00,2432.90,2491.80,2476.90,22326.90,43.00,481.62,55.92,5600.00,-1350.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,21300.00,898.10,1247.50,897.60,1047.60,1029.05,22326.90,746.00,8344.60,399.70,25400.00,-9150.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,21750.00,443.95,777.55,437.30,583.60,578.30,22326.90,2865.00,32009.65,852.77,30300.00,-38750.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23250.00,0.15,0.40,0.05,0.15,0.05,22326.90,43611.00,506981.40,3.52,162050.00,79950.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,23800.00,0.20,0.40,0.05,0.10,0.05,22326.90,16437.00,195601.62,1.32,110050.00,-3200.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,19850.00,-,-,-,2204.45,2204.45,22326.90,-,-,-,150.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20350.00,2090.00,2090.00,2090.00,2090.00,2090.00,22326.90,1.00,11.22,1.04,650.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,CE,20850.00,1583.45,1583.45,1583.45,1583.45,1583.45,22326.90,1.00,11.22,0.80,1600.00,-,22326.90
