Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Sep-2022,06-Oct-2022,CE,19600.00,1.90,1.90,0.90,1.05,0.95,1.05,4647.00,45542.94,2.34,32950.00,7000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,16400.00,473.90,797.75,405.60,701.10,705.60,701.10,4382.00,37141.86,1209.46,35250.00,-2050.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,17200.00,45.00,147.90,23.20,97.40,95.60,97.40,1915597.00,16561081.06,86946.86,3460150.00,1518650.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18000.00,1.90,2.65,1.55,1.80,1.55,1.80,704274.00,6339188.35,722.35,3912350.00,1422350.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18800.00,1.75,1.95,0.95,1.15,0.95,1.15,9976.00,93780.50,6.10,115000.00,28250.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,19650.00,2.10,2.10,0.85,1.25,0.95,1.25,172.00,1690.00,0.10,3100.00,2250.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15050.00,1915.45,2040.75,1915.45,2040.75,2040.75,2040.75,4.00,34.06,3.96,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15100.00,-,-,-,2455.80,-,2009.75,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,16450.00,433.40,742.15,366.35,632.00,657.00,632.00,1592.00,13475.69,381.49,8100.00,4150.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,17250.00,36.95,122.65,17.95,76.15,77.00,76.15,535585.00,4639521.97,20101.35,728300.00,426000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18050.00,2.35,2.50,1.35,1.80,1.35,1.80,40729.00,367619.59,40.37,212450.00,49000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18850.00,1.75,1.75,1.00,1.15,1.10,1.15,538.00,5071.01,0.36,24750.00,1600.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,19700.00,1.60,1.60,0.85,1.00,0.85,1.00,1297.00,12776.13,0.68,26550.00,1600.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15150.00,-,-,-,2409.30,-,1959.80,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,16500.00,380.50,702.90,327.30,604.30,612.05,604.30,36028.00,305787.24,8556.24,200450.00,27300.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,17300.00,23.95,99.70,13.55,60.85,61.00,60.85,1400686.00,12155653.73,39719.83,2721800.00,1242950.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18100.00,2.00,2.20,1.35,1.60,1.45,1.60,121466.00,1099377.57,110.27,724950.00,195200.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18900.00,1.85,1.85,1.05,1.25,1.05,1.25,6375.00,60247.68,3.93,59450.00,3000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,19750.00,1.70,1.70,0.85,1.00,0.85,1.00,63.00,622.16,0.04,2450.00,1500.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15200.00,-,-,-,2363.05,-,1909.85,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,16550.00,355.85,654.30,291.30,548.50,563.45,548.50,3723.00,31539.95,732.13,9700.00,4550.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,17350.00,20.10,79.85,10.35,46.65,45.00,46.65,465094.00,4045073.59,10383.14,1044850.00,663650.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18150.00,2.10,5.10,1.35,1.60,1.40,1.60,24334.00,220852.49,21.44,128550.00,22950.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18950.00,1.90,1.90,1.05,1.10,1.05,1.10,383.00,3629.19,0.27,5350.00,-950.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,19800.00,1.35,1.35,0.90,1.05,0.95,1.05,1276.00,12633.05,0.65,51300.00,5050.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,14400.00,2667.30,2772.70,2667.30,2740.80,2740.80,2740.80,26.00,222.74,35.54,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,14500.00,2594.00,2594.00,2594.00,2594.00,2594.00,2594.00,1.00,8.55,1.30,100.00,50.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,14550.00,2558.75,2596.00,2558.75,2596.00,2596.00,2596.00,4.00,34.25,5.15,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15350.00,-,-,-,2225.75,-,1760.00,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15900.00,-,-,-,1745.10,-,1211.20,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,16700.00,239.95,519.75,194.55,424.75,431.60,424.75,241452.00,2050021.47,33897.27,215800.00,58000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,17500.00,9.60,36.80,4.95,18.30,19.00,18.30,1602051.00,14032953.65,15007.40,4488900.00,1715750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,18300.00,2.00,2.20,1.15,1.45,1.15,1.45,52907.00,484141.66,42.61,491000.00,103100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,19100.00,1.55,1.75,0.90,1.10,0.90,1.10,7760.00,74112.38,4.38,71350.00,7750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,19950.00,1.60,1.60,0.75,0.90,0.80,0.90,210.00,2094.86,0.11,4050.00,2200.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,14600.00,2509.25,2548.75,2509.25,2548.75,2548.75,2548.75,4.00,34.26,5.06,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15400.00,-,-,-,2180.45,-,1710.05,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15450.00,-,-,-,2135.50,-,1660.10,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,15950.00,-,-,-,1703.55,-,1161.50,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,16750.00,200.00,472.85,166.60,383.70,398.80,383.70,146079.00,1241177.29,17765.67,64750.00,13350.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,CE,17550.00,6.85,27.10,4.05,12.35,12.00,12.35,457413.00,4016763.42,2964.34,1517650.00,1161850.00,17094.35
