Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Dec-2022,05-Jan-2023,CE,17200.00,1050.00,1080.80,950.00,950.00,950.00,950.00,12.00,109.41,6.21,2450.00,200.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,18050.00,256.80,272.00,141.75,157.50,160.15,157.50,100690.00,918757.34,10030.09,420750.00,200700.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,18850.00,3.05,3.20,2.30,2.55,2.55,2.55,163921.00,1545173.45,218.03,1147200.00,944600.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,18900.00,1.95,2.60,1.95,2.30,2.30,2.30,339731.00,3210850.47,392.52,2553050.00,1483450.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,19750.00,1.15,1.25,0.75,0.90,0.85,0.90,1528.00,15089.66,0.66,26900.00,23850.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,20000.00,0.95,1.00,0.70,0.90,0.85,0.90,138512.00,1385175.61,55.61,1536150.00,1087600.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,20900.00,0.95,0.95,0.65,0.75,0.65,0.75,431.00,4504.11,0.16,10350.00,4350.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,15450.00,-,-,-,2790.90,-,2672.70,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,16350.00,-,-,-,1961.70,-,1773.70,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,16400.00,-,-,-,1918.15,-,1723.75,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,17250.00,994.95,994.95,883.65,883.65,883.65,883.65,4.00,36.38,1.88,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,18100.00,190.15,232.15,113.70,127.30,130.00,127.30,724855.00,6621157.52,61219.77,2222950.00,935900.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,20050.00,1.00,1.20,0.65,0.90,1.20,0.90,65.00,651.66,0.04,4200.00,200.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,20950.00,1.15,1.15,0.60,0.70,0.65,0.70,348.00,3645.42,0.12,7850.00,900.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,21000.00,1.00,1.00,0.55,0.75,0.60,0.75,35528.00,373056.27,12.27,941000.00,301600.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,15500.00,-,-,-,2743.20,-,2622.75,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,16450.00,-,-,-,1874.95,-,1673.80,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,17300.00,940.00,940.00,809.90,819.05,809.90,819.05,11.00,100.04,4.89,7550.00,200.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,CE,18150.00,172.55,197.95,90.20,102.60,103.00,102.60,512334.00,4684760.27,35329.22,1152750.00,627350.00,18105.30
