Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Jun-2022,30-Jun-2022,PE,18350.00,2493.95,2549.35,2493.95,2547.05,2544.75,15780.25,4.00,41.74,5.04,50.00,-,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,18850.00,-,-,-,3013.10,3013.10,15780.25,-,-,-,100.00,-,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,19350.00,-,-,-,3531.45,3531.45,15780.25,-,-,-,50.00,-,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,23000.00,7156.85,7215.00,7153.30,7199.45,7199.40,15780.25,8.00,120.73,28.73,50.00,-250.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,16600.00,805.55,889.25,730.10,813.55,821.80,15780.25,1539.00,13400.25,626.55,224400.00,-46150.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,17950.00,2185.00,2185.00,2185.00,2185.00,2185.00,15780.25,1.00,10.07,1.09,600.00,-50.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,18400.00,2568.65,2684.90,2542.90,2626.45,2626.45,15780.25,156.00,1642.21,207.01,7400.00,-950.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,18900.00,-,-,-,3067.70,3067.70,15780.25,-,-,-,200.00,-,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,16200.00,426.60,487.00,326.10,414.60,420.90,15780.25,28225.00,234321.95,5699.45,406750.00,-169100.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,17050.00,1200.00,1279.00,1200.00,1279.00,1279.00,15780.25,5.00,45.75,3.13,9100.00,-100.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,17500.00,1680.15,1788.05,1630.00,1713.25,1724.15,15780.25,3042.00,29223.67,2606.17,474700.00,-40000.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,19400.00,3545.45,3705.55,3545.45,3705.55,3705.55,15780.25,22.00,253.30,39.90,1000.00,-200.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,15900.00,165.05,194.10,69.80,111.65,119.60,15780.25,1763023.00,14119831.75,103798.90,1081500.00,-435450.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,16250.00,472.10,535.00,379.05,464.35,470.50,15780.25,1185.00,9895.57,267.44,16700.00,-4150.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,16650.00,803.35,891.90,788.00,865.15,872.70,15780.25,62.00,542.71,26.56,11550.00,-700.00,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,17100.00,1268.10,1385.50,1242.10,1312.55,1324.00,15780.25,188.00,1730.33,122.93,67300.00,-,-
NIFTY,30-Jun-2022,30-Jun-2022,PE,18450.00,-,-,-,3001.25,3001.25,15780.25,-,-,-,-,-,-
