Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Sep-2022,06-Oct-2022,PE,16100.00,21.50,29.25,5.25,6.35,5.75,6.35,417935.00,3366693.01,2316.26,1281350.00,448750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16950.00,260.00,301.35,74.70,101.85,88.30,101.85,423143.00,3614498.24,28361.31,576650.00,455700.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17700.00,860.00,946.05,521.45,618.00,606.05,618.00,1612.00,14824.15,557.95,71650.00,4750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18500.00,1545.55,1545.55,1361.35,1419.15,1403.00,1419.15,109.00,1085.06,76.81,15650.00,-1850.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19350.00,-,-,-,1582.15,1582.15,2235.95,-,-,-,50.00,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,20200.00,-,-,-,2682.20,-,3085.10,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14850.00,2.60,2.60,1.25,1.40,1.25,1.40,580.00,4307.04,0.54,7000.00,5900.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15650.00,4.55,6.25,2.15,2.60,2.80,2.60,55828.00,436963.48,109.38,354100.00,317000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15750.00,5.90,8.75,2.90,3.45,3.15,3.45,52110.00,410491.56,125.31,357550.00,197250.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16300.00,40.00,55.00,8.65,11.00,9.25,11.00,625710.00,5106550.56,7014.06,2236800.00,975200.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17100.00,340.00,404.45,118.50,158.95,149.00,158.95,957167.00,8261728.34,77950.49,2660950.00,2336800.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17850.00,987.60,987.60,669.80,766.55,748.00,766.55,89.00,829.37,35.05,5550.00,-600.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18650.00,-,-,-,1355.15,-,1536.80,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19500.00,2529.80,2533.15,2346.30,2346.30,2346.30,2346.30,10.00,109.76,12.26,300.00,300.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,20350.00,-,-,-,2822.55,-,3234.95,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14950.00,2.00,2.90,1.15,1.50,1.20,1.50,854.00,6384.49,0.84,9000.00,7750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15800.00,7.00,10.40,3.00,3.60,3.60,3.60,347673.00,2747554.57,937.87,1428250.00,182650.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16350.00,48.05,64.05,9.95,12.85,11.10,12.85,180197.00,1475572.10,2461.63,495550.00,341150.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17150.00,392.85,442.80,138.40,182.85,176.00,182.85,256518.00,2222094.43,22452.58,486850.00,455050.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17900.00,1079.75,1151.20,721.05,827.95,799.05,827.95,318.00,2982.23,136.13,61600.00,-1750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18700.00,-,-,-,1393.05,-,1586.70,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19550.00,-,-,-,2092.80,-,2435.75,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,20400.00,3525.85,3525.85,3271.60,3271.60,3271.60,3271.60,4.00,47.60,6.80,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15000.00,2.60,2.85,1.65,1.80,1.80,1.80,170915.00,1282040.65,178.15,3319450.00,473800.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16400.00,50.00,74.40,5.50,15.30,12.60,15.30,599640.00,4926852.20,9804.20,2044050.00,1029950.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17200.00,430.90,481.00,160.10,212.20,201.95,212.20,399786.00,3480056.40,41896.80,901550.00,569650.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17950.00,1021.00,1021.00,865.85,865.85,865.85,846.10,3.00,28.38,1.46,1700.00,50.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18750.00,-,-,-,1430.65,-,1636.65,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19600.00,-,-,-,2136.80,-,2485.70,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15050.00,2.80,3.00,1.35,1.65,2.00,1.65,2163.00,16278.84,2.27,7450.00,6050.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16450.00,66.70,86.00,13.95,18.95,14.00,18.95,214684.00,1769913.13,4137.23,418650.00,283550.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17250.00,471.10,519.50,184.75,243.70,228.45,243.70,34920.00,305306.63,4121.63,100000.00,59850.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18000.00,1200.00,1237.30,820.10,923.35,903.25,923.35,1579.00,15000.12,789.12,98550.00,4600.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18800.00,1869.70,1869.70,1735.00,1735.00,1735.00,1735.00,2.00,20.60,1.80,150.00,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19650.00,-,-,-,2181.05,-,2535.65,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15100.00,2.65,3.05,1.55,1.85,1.85,1.85,24396.00,184217.57,27.77,136650.00,14750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16500.00,72.00,99.00,17.00,22.15,18.10,22.15,1303103.00,10779169.44,28569.69,4203650.00,2512350.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17300.00,504.95,567.65,212.60,275.95,263.50,275.95,81520.00,716534.82,11386.82,386500.00,231600.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18050.00,1261.00,1264.85,1242.65,1264.85,1264.85,942.55,4.00,38.61,2.51,600.00,-100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18850.00,-,-,-,1508.35,-,1736.50,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19700.00,-,-,-,2225.60,-,2585.60,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15150.00,2.60,3.25,1.40,1.75,2.50,1.75,5902.00,44714.78,7.13,12500.00,11050.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16550.00,92.00,113.65,19.80,26.55,21.90,26.55,299555.00,2486738.68,7921.06,586050.00,398450.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17350.00,588.00,611.30,242.20,314.20,301.45,314.20,10554.00,93133.12,1577.17,64100.00,54350.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18100.00,1289.70,1349.20,920.40,1026.90,993.55,1026.90,100.00,958.35,53.35,10400.00,-2600.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18900.00,-,-,-,1890.00,1890.00,1786.45,-,-,-,100.00,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19750.00,2576.85,2588.35,2576.85,2588.35,2588.35,2588.35,4.00,44.67,5.17,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14400.00,1.50,1.70,0.65,0.75,0.75,0.75,23077.00,166166.40,12.00,518600.00,188800.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15200.00,2.10,3.25,1.45,1.75,1.60,1.75,32536.00,247311.77,38.17,134550.00,40950.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16600.00,110.00,129.75,23.35,31.05,27.00,31.05,982666.00,8185458.78,29330.98,2728900.00,1720550.00,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,19100.00,-,-,-,1481.55,-,1964.50,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,14900.00,-,-,-,14.95,-,0.10,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,15700.00,23.30,27.40,7.25,9.55,7.25,9.55,5387.00,42325.34,37.39,68150.00,20600.00,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,16500.00,146.35,166.80,50.80,66.40,65.00,66.40,26544.00,220196.46,1208.46,255350.00,35100.00,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,16800.00,262.00,290.40,103.20,131.70,127.20,131.70,24551.00,208523.66,2295.26,186050.00,71050.00,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,17550.00,757.00,780.00,446.55,523.05,538.05,523.05,41.00,370.91,11.13,1300.00,1050.00,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,18350.00,-,-,-,949.75,-,1229.55,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,13-Oct-2022,PE,19150.00,-,-,-,1520.60,-,2014.20,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17400.00,596.50,658.65,276.55,346.80,337.30,346.80,24145.00,214245.78,4184.28,192950.00,60550.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18150.00,1200.00,1200.00,1010.10,1033.25,1033.25,1040.30,4.00,38.44,2.14,750.00,-50.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18950.00,-,-,-,1587.70,-,1836.40,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19800.00,2632.30,2642.45,2632.30,2642.45,2642.45,2642.45,4.00,44.87,5.27,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14450.00,1.60,2.00,0.90,1.00,0.90,1.00,3423.00,24733.12,1.95,10750.00,6350.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15250.00,2.35,3.55,1.45,1.80,1.55,1.80,9334.00,71183.47,11.72,14200.00,14200.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16650.00,156.00,156.00,27.75,37.70,29.95,37.70,359832.00,3008197.47,12596.07,565450.00,354100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17450.00,640.35,710.00,315.00,396.00,380.10,396.00,1478.00,13199.75,304.20,29100.00,3550.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18200.00,1446.85,1446.85,1042.00,1114.55,1115.55,1114.55,34.00,329.39,19.99,13100.00,350.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19000.00,2220.00,2220.00,1851.00,1886.60,1886.60,1886.60,7.00,73.36,6.86,300.00,200.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19050.00,-,-,-,1668.55,-,1936.25,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19850.00,-,-,-,2360.50,-,2735.45,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14500.00,1.55,1.90,0.75,0.85,0.85,0.85,61972.00,449332.12,35.12,1202000.00,653750.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15300.00,2.15,3.60,1.45,1.80,1.95,1.80,63104.00,482822.49,76.89,471700.00,265000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15850.00,6.90,12.55,3.05,3.95,3.05,3.95,83045.00,658382.00,250.38,527250.00,387700.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16700.00,150.00,168.50,32.80,44.00,36.50,44.00,1386445.00,11634719.48,57903.73,4867300.00,3245000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18250.00,-,-,-,1121.55,1121.55,1138.85,-,-,-,250.00,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19100.00,-,-,-,1709.55,-,1986.20,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19900.00,2726.30,2742.15,2726.30,2742.15,2742.15,2742.15,4.00,45.27,5.47,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14550.00,1.10,2.40,0.80,1.10,1.10,1.10,678.00,4932.91,0.46,8500.00,6900.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15350.00,2.70,3.85,1.60,2.00,1.85,2.00,11990.00,92039.01,15.76,18350.00,16150.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15400.00,2.90,3.95,1.65,2.05,1.90,2.05,84422.00,650159.89,110.49,365050.00,99150.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15900.00,9.80,14.90,3.75,4.40,4.50,4.40,400411.00,3184612.84,1345.39,3223100.00,2334600.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16750.00,170.10,190.70,38.75,52.95,45.00,52.95,559602.00,4714809.04,28142.29,956450.00,745900.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17500.00,692.55,755.00,350.00,432.30,421.45,432.30,20303.00,182299.27,4648.02,303950.00,-9850.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18300.00,1525.00,1525.00,1145.00,1214.55,1207.85,1214.55,13.00,126.91,7.96,8700.00,-250.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19150.00,-,-,-,1750.85,-,2036.15,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19950.00,2777.65,2777.65,2776.45,2776.45,2776.45,2776.45,4.00,45.45,5.55,100.00,100.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,20000.00,3001.00,3001.00,2851.00,2851.00,2851.00,2885.30,4.00,45.85,5.85,200.00,200.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14600.00,1.55,2.00,0.90,1.15,1.25,1.15,3781.00,27603.97,2.67,19350.00,17400.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15450.00,3.00,4.30,1.75,2.15,2.00,2.15,19482.00,150526.24,27.79,38450.00,15000.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15950.00,11.90,17.55,3.90,4.60,4.25,4.60,89481.00,713971.90,360.93,181600.00,42300.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16000.00,15.05,21.00,4.50,5.40,4.90,5.40,708501.00,5671218.38,3210.38,4550400.00,2113550.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,16800.00,193.00,215.00,45.80,62.90,55.85,62.90,1806707.00,15277635.95,101297.15,4485750.00,2795300.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,17550.00,769.60,780.40,392.10,479.45,474.90,479.45,407.00,3671.31,99.89,12700.00,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,18350.00,-,-,-,1137.20,-,1237.95,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,19200.00,-,-,-,1792.50,-,2086.10,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,20050.00,-,-,-,2543.25,-,2935.25,-,-,-,-,-,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,14650.00,1.00,2.25,0.95,1.05,1.05,1.05,884.00,6475.99,0.69,3850.00,1250.00,17094.35
NIFTY,30-Sep-2022,06-Oct-2022,PE,15500.00,3.60,4.55,1.80,2.25,2.10,2.25,319208.00,2474322.61,460.61,2376300.00,885300.00,17094.35
