Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Dec-2022,05-Jan-2023,PE,17950.00,36.05,58.45,21.45,46.90,35.00,46.90,619225.00,5568495.02,10950.65,1080800.00,350300.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18750.00,488.55,641.20,472.00,623.60,611.25,623.60,314.00,3030.44,86.69,5550.00,3050.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19600.00,-,-,-,1382.15,1382.15,1472.85,-,-,-,550.00,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19850.00,-,-,-,1732.05,-,1722.45,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20750.00,-,-,-,2524.40,-,2621.40,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15300.00,1.70,1.70,0.50,0.55,0.60,0.55,365.00,2792.37,0.12,5150.00,5150.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16200.00,1.65,1.65,1.00,1.20,1.20,1.20,2586.00,20948.22,1.62,96750.00,52250.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17100.00,3.45,3.50,1.40,1.75,1.50,1.75,143247.00,1224930.09,168.24,555800.00,-217850.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18000.00,30.10,74.60,27.30,60.55,48.00,60.55,2133153.00,19245641.05,47264.05,4321450.00,-305250.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18800.00,535.75,696.95,518.00,667.90,650.70,667.90,1132.00,10968.64,327.84,45800.00,9050.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19650.00,-,-,-,1569.00,-,1522.75,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19900.00,-,-,-,1773.70,-,1772.35,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19950.00,-,-,-,1815.65,-,1822.30,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20800.00,-,-,-,2570.55,-,2671.35,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20850.00,-,-,-,2616.85,-,2721.30,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15350.00,1.25,1.25,0.60,0.60,0.60,0.60,51.00,391.45,0.03,700.00,700.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16250.00,1.90,2.15,0.80,1.05,0.90,1.05,264.00,2145.15,0.15,1700.00,1650.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16300.00,1.60,1.60,0.80,1.15,1.00,1.15,1455.00,11859.19,0.94,58150.00,13300.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17150.00,3.35,3.65,1.55,1.90,1.70,1.90,27657.00,237192.01,33.23,155350.00,77750.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18050.00,40.00,93.80,34.90,77.80,62.00,77.80,633938.00,5739770.27,18479.82,960250.00,-52750.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18850.00,732.00,748.75,566.75,716.80,699.95,716.80,212.00,2065.91,67.81,2850.00,1250.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19700.00,-,-,-,1660.00,1660.00,1572.65,-,-,-,900.00,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20000.00,1720.00,1770.00,1720.00,1770.00,1770.00,1872.25,3.00,32.61,2.61,550.00,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20900.00,-,-,-,2663.35,-,2771.25,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15400.00,1.10,1.35,0.20,0.50,0.65,0.50,1942.00,14954.08,0.68,11800.00,11800.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16350.00,1.00,1.65,0.85,1.15,1.15,1.15,84.00,686.75,0.05,3450.00,3450.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16500.00,2.00,2.25,1.25,1.40,1.40,1.40,54365.00,448552.00,40.75,2036200.00,50050.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17400.00,4.65,5.15,2.90,3.70,2.90,3.70,302527.00,2632583.27,598.37,1947600.00,942950.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18250.00,126.50,206.60,91.70,177.60,160.00,177.60,1117322.00,10266160.01,70596.76,774250.00,504000.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19050.00,-,-,-,1119.30,-,928.15,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20200.00,-,-,-,2030.15,-,2072.00,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15650.00,1.90,1.90,0.50,0.65,0.55,0.65,69.00,539.95,0.03,1150.00,700.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16550.00,1.50,2.25,1.15,1.25,1.25,1.25,1363.00,11279.77,0.94,15600.00,100.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17450.00,5.90,5.95,2.55,4.40,2.55,4.40,109670.00,957116.11,245.36,444800.00,226400.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18300.00,149.85,243.30,114.70,213.35,196.90,213.35,1204464.00,11115563.49,94717.89,1080850.00,676700.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19100.00,864.75,875.25,825.65,873.75,873.75,976.95,14.00,139.74,6.04,400.00,200.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20250.00,-,-,-,2073.90,-,2121.95,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15700.00,1.45,1.45,0.45,0.65,0.50,0.65,1356.00,10645.13,0.53,34700.00,33100.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16600.00,2.70,2.70,1.25,1.40,1.30,1.40,7046.00,58487.40,5.60,146750.00,10300.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17500.00,4.90,7.05,3.80,5.20,4.15,5.20,497319.00,4352828.52,1287.27,4615000.00,2543400.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18350.00,164.85,282.45,140.95,249.20,232.90,249.20,195878.00,1815473.25,18292.60,283650.00,229550.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19150.00,916.90,997.50,907.00,997.50,997.50,997.50,17.00,170.59,7.82,600.00,600.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19200.00,-,-,-,987.50,980.00,1075.25,-,-,-,1500.00,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20300.00,-,-,-,2117.90,-,2171.90,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15750.00,-,-,-,29.75,-,-,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16650.00,1.85,2.15,1.05,1.30,1.05,1.30,1285.00,10698.57,0.94,15200.00,5250.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16700.00,2.35,2.35,1.20,1.45,1.30,1.45,22507.00,187951.73,18.28,333800.00,5850.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17550.00,7.70,9.30,4.25,6.35,4.30,6.35,121125.00,1063235.20,363.32,517000.00,264450.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18400.00,199.10,324.00,171.50,291.55,277.00,291.55,287890.00,2680168.83,31580.83,393000.00,125300.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20350.00,-,-,-,2162.20,-,2221.85,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15800.00,1.20,1.85,0.70,0.80,0.70,0.80,702.00,5546.14,0.34,6100.00,2000.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16750.00,2.00,2.25,1.10,1.35,1.20,1.35,8646.00,72417.68,7.43,41250.00,13500.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17600.00,7.95,10.50,5.05,7.65,5.60,7.65,369181.00,3250099.99,1307.19,1898550.00,686500.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18450.00,231.25,367.65,205.60,336.85,316.70,336.85,30937.00,289427.78,4033.96,129450.00,99100.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19250.00,-,-,-,1261.80,-,1124.65,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20400.00,-,-,-,2206.70,-,2271.80,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20450.00,-,-,-,2251.45,-,2321.75,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15850.00,1.90,1.90,0.60,0.65,0.60,0.65,123.00,974.83,0.06,1950.00,1500.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16800.00,2.30,2.30,1.25,1.40,1.40,1.40,42514.00,357153.81,36.21,452050.00,-142500.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17650.00,11.55,13.10,6.30,9.55,6.55,9.55,222959.00,1968574.05,960.88,704700.00,403500.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18500.00,272.85,412.65,243.85,379.35,364.90,379.35,94059.00,884294.39,14248.64,316750.00,63800.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19300.00,1068.85,1068.85,1011.05,1064.25,1064.25,1174.20,13.00,132.31,6.86,300.00,200.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19350.00,-,-,-,1336.80,-,1223.80,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20500.00,-,-,-,2296.40,-,2371.70,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15900.00,1.65,1.65,0.85,0.85,0.85,0.85,1170.00,9302.04,0.54,46100.00,39850.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15950.00,1.75,1.75,0.55,0.70,0.70,0.70,103.00,821.48,0.06,900.00,250.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16850.00,2.55,3.00,1.25,1.35,1.30,1.35,12695.00,106967.04,11.66,68700.00,13850.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17700.00,9.00,16.65,7.35,12.40,9.10,12.40,623768.00,5523631.45,3284.65,3814150.00,2355650.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20600.00,-,-,-,2387.00,-,2471.55,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15100.00,1.15,1.45,0.45,0.55,0.45,0.55,7254.00,54770.66,2.96,64550.00,58700.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16050.00,1.95,1.95,0.70,0.80,0.80,0.80,52.00,417.33,0.03,1600.00,-100.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16950.00,2.25,2.75,1.25,1.50,1.35,1.50,16318.00,138311.25,16.20,97650.00,-9000.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,17800.00,14.95,27.45,10.95,20.65,15.25,20.65,829332.00,7387914.89,6860.09,4305400.00,2497550.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,18650.00,402.55,549.50,375.35,521.05,504.45,521.05,1680.00,16032.56,366.56,9700.00,4750.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19500.00,1245.45,1374.90,1224.75,1333.80,1345.55,1333.80,24.00,249.02,15.02,2650.00,-700.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,19750.00,-,-,-,1649.80,-,1622.60,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,20650.00,-,-,-,2432.60,-,2521.50,-,-,-,-,-,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,15150.00,0.40,1.40,0.40,0.55,0.45,0.55,808.00,6120.89,0.29,12200.00,12200.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16100.00,1.60,1.60,0.85,1.10,0.90,1.10,3156.00,25407.68,1.88,98250.00,88700.00,18105.30
NIFTY,30-Dec-2022,05-Jan-2023,PE,16150.00,-,-,-,57.65,-,-,-,-,-,-,-,18105.30
