Date,Expiry,Entry_Spot,Strike_Sold,Premium_Received,Lot_Size,Expiry_PnL,Regime
2022-01-03,2022-01-31,36000.0,36200,999.65,25,29991.25,Unknown
2022-02-01,2022-02-28,37100.0,37300,2337.4,25,55935.0,Unknown
2022-03-02,2022-03-31,37000.0,37200,249.55,25,-28761.25,Unknown
2022-04-01,2022-04-29,35600.0,35800,2166.35,25,59158.75,Unknown
2022-05-02,2022-05-31,36600.0,36800,451.5,25,-31212.5,Unknown
2022-06-01,2022-06-30,34900.0,35100,917.3,25,5432.5,Unknown
2022-07-01,2022-07-29,33900.0,34100,1918.2,25,52955.0,Unknown
2022-08-01,2022-08-30,35700.0,35900,3258.55,25,86463.75,Unknown
2022-09-01,2022-09-30,37800.0,38000,1257.3,25,36432.5,Sideways
2022-10-03,2022-10-31,39000.0,39200,2518.05,25,67951.25,Trending Up
2022-11-01,2022-11-30,39500.0,39700,2016.25,25,55406.25,Trending Up
2022-12-01,2022-12-30,41500.0,41700,2395.15,25,64878.75,Sideways
2023-01-02,2023-01-31,42500.0,42700,743.35,25,-1416.25,Unknown
2023-02-01,2023-02-28,41400.0,41600,2471.65,25,46791.25,Unknown
2023-03-01,2023-03-31,40800.0,41000,956.2,25,6405.0,Unknown
2023-04-03,2023-04-28,40200.0,40400,2057.25,25,56431.25,Trending Up
2023-05-02,2023-05-31,42000.0,42200,1366.15,25,39153.75,Sideways
2023-06-01,2023-06-30,43500.0,43700,556.9,25,18922.5,Unknown
2023-07-03,2023-07-31,44100.0,44300,1096.8,15,19452.0,Unknown
2023-08-01,2023-08-31,45300.0,45500,403.55,15,-5946.75,Trending Down
2023-09-01,2023-09-29,44400.0,44600,146.8,15,5202.0,Sideways
2023-10-03,2023-10-31,45000.0,45200,302.05,15,-17969.25,Trending Down
2023-11-01,2023-11-30,43500.0,43700,273.9,15,7108.5,Trending Up
2023-12-01,2023-12-29,43900.0,44100,1222.95,15,21344.25,Trending Up
2024-01-01,2024-01-31,47100.0,47300,1502.75,15,9041.25,Unknown
2024-02-01,2024-02-29,46200.0,46400,717.1,15,12256.5,Unknown
2024-03-01,2024-03-28,46300.0,46500,1441.7,15,24625.5,Sideways
2024-04-01,2024-04-30,46800.0,47000,1381.3,15,23719.5,Trending Up
2024-05-02,2024-05-31,48400.0,48600,992.3,15,14884.5,Unknown
2024-06-03,2024-06-28,48800.0,49000,2559.75,15,41396.25,Unknown
2024-07-01,2024-07-31,51000.0,51200,3830.9,15,60463.5,Sideways
2024-08-01,2024-08-30,51400.0,51600,1356.55,15,11348.25,Sideways
2024-09-02,2024-09-30,50850.0,51000,1254.9,15,21073.5,Unknown
2024-10-01,2024-10-31,52800.0,53000,1535.9,15,11038.5,Unknown
2024-11-01,2024-11-29,52000.0,52200,434.75,15,4271.25,Unknown
2024-12-02,2024-12-31,51850.0,52000,2103.5,15,29302.5,Sideways
