Date,Expiry,Entry_Spot,Strike,Total_Premium_Paid,Lot_Size,Expiry_PnL,Regime
2022-01-03,2022-01-31,36000.0,36000,1441.55,25,-8538.75,Unknown
2022-02-01,2022-02-28,37100.0,37100,2841.7,25,-68542.5,Unknown
2022-03-02,2022-03-31,37000.0,37000,2518.65,25,-27966.25,Unknown
2022-04-01,2022-04-29,35600.0,35600,2963.15,25,-49078.75,Unknown
2022-05-02,2022-05-31,36600.0,36600,1585.7,25,2857.5,Unknown
2022-06-01,2022-06-30,34900.0,34900,1626.65,25,-23166.25,Unknown
2022-07-01,2022-07-29,33900.0,33900,2721.55,25,-23038.75,Unknown
2022-08-01,2022-08-30,35700.0,35700,4612.8,25,-62820.0,Unknown
2022-09-01,2022-09-30,37800.0,37800,1615.25,25,-10381.25,Sideways
2022-10-03,2022-10-31,39000.0,39000,2768.8,25,-56720.0,Trending Up
2022-11-01,2022-11-30,39500.0,39500,1774.05,25,3148.75,Trending Up
2022-12-01,2022-12-30,41500.0,41500,3580.35,25,-62008.75,Sideways
2023-01-02,2023-01-31,42500.0,42500,1432.45,25,-15811.25,Unknown
2023-02-01,2023-02-28,41400.0,41400,3469.8,25,-71745.0,Unknown
2023-03-01,2023-03-31,40800.0,40800,1832.0,25,-28300.0,Unknown
2023-04-03,2023-04-28,40200.0,40200,2311.2,25,-12780.0,Trending Up
2023-05-02,2023-05-31,42000.0,42000,1857.05,25,-8926.25,Sideways
2023-06-01,2023-06-30,43500.0,43500,966.35,25,-14158.75,Unknown
2023-07-03,2023-07-31,44100.0,44100,1474.25,15,-4113.75,Unknown
2023-08-01,2023-08-31,45300.0,45300,733.15,15,1002.75,Trending Down
2023-09-01,2023-09-29,44400.0,44400,1255.65,15,-9834.75,Sideways
2023-10-03,2023-10-31,45000.0,45000,739.5,15,11407.5,Trending Down
2023-11-01,2023-11-30,43500.0,43500,1068.55,15,-11528.25,Trending Up
2023-12-01,2023-12-29,43900.0,43900,1806.45,15,20903.25,Trending Up
2024-01-01,2024-01-31,47100.0,47100,2103.5,15,-18052.5,Unknown
2024-02-01,2024-02-29,46200.0,46200,1549.75,15,-21746.25,Unknown
2024-03-01,2024-03-28,46300.0,46300,1929.4,15,-21441.0,Sideways
2024-04-01,2024-04-30,46800.0,46800,1905.45,15,-9081.75,Trending Up
2024-05-02,2024-05-31,48400.0,48400,2632.5,15,-39487.5,Unknown
2024-06-03,2024-06-28,48800.0,48800,3595.7,15,-20935.5,Unknown
2024-07-01,2024-07-31,51000.0,51000,3606.35,15,-51095.25,Sideways
2024-08-01,2024-08-30,51400.0,51400,3326.55,15,-40898.25,Sideways
2024-09-02,2024-09-30,50850.0,50800,3039.8,15,-15597.0,Unknown
2024-10-01,2024-10-31,52800.0,52800,1481.8,15,-10227.0,Unknown
2024-11-01,2024-11-29,52000.0,52000,1399.9,15,-18748.5,Unknown
2024-12-02,2024-12-31,51850.0,51800,3487.15,15,-50807.25,Sideways
