Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Jun-2023,06-Jul-2023,CE,17250.00,-,-,-,1745.00,1745.00,1959.10,-,-,-,500.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18550.00,518.15,650.15,518.15,636.05,642.55,636.05,495.00,4733.59,142.47,18650.00,-4550.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19800.00,1.25,1.80,1.10,1.20,1.30,1.20,314856.00,3117307.28,232.88,2219050.00,1560700.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19850.00,1.20,1.65,1.05,1.15,1.30,1.15,47511.00,471579.09,32.41,254800.00,228900.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17300.00,-,-,-,1699.00,1699.00,1909.15,-,-,-,1800.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18600.00,473.30,600.20,443.90,589.30,596.30,589.30,3551.00,33956.71,932.41,159500.00,-33800.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18650.00,360.55,552.10,360.55,544.20,548.75,544.20,1427.00,13647.47,340.69,62000.00,-11050.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19900.00,1.15,1.55,0.95,1.10,1.10,1.10,144936.00,1442205.38,92.18,1189000.00,368350.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19950.00,1.05,1.50,0.85,0.95,1.20,0.95,40186.00,400878.20,22.85,171500.00,149450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17350.00,-,-,-,1673.00,1673.00,1859.20,-,-,-,1100.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17400.00,-,-,-,1560.70,1590.00,1809.25,-,-,-,15400.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18700.00,360.95,504.25,355.40,493.65,500.35,493.65,12417.00,118795.38,2696.43,913600.00,-93100.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20000.00,1.10,1.40,0.85,0.95,1.00,0.95,332625.00,3326436.90,186.90,2510800.00,1193250.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20050.00,1.20,1.85,0.80,0.90,1.05,0.90,27854.00,279251.43,15.08,82450.00,72600.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18050.00,1052.90,1110.00,1052.90,1110.00,1110.00,1189.35,3.00,28.68,1.60,150.00,150.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19250.00,62.40,113.30,61.75,107.45,112.45,107.45,27754.00,268365.18,1232.93,111600.00,54300.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19300.00,50.00,90.00,46.20,84.00,89.00,84.00,58360.00,565195.50,2021.50,447950.00,218800.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18100.00,1018.80,1111.00,1018.80,1111.00,1111.00,1111.00,49.00,469.89,26.44,3150.00,1700.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18150.00,-,-,-,768.35,-,1092.45,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19350.00,35.30,68.75,34.95,63.25,68.40,63.25,25332.00,245766.43,679.33,210700.00,168450.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18200.00,983.00,997.00,968.95,997.00,997.00,997.00,22.00,210.93,10.73,1850.00,150.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19400.00,25.65,55.00,25.60,48.10,51.05,48.10,51882.00,504309.96,1054.56,724000.00,426450.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19450.00,63.65,63.65,23.30,36.30,37.60,36.30,18002.00,175354.47,285.02,211650.00,211650.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18250.00,-,-,-,698.20,-,996.95,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18300.00,842.45,893.00,820.20,890.00,890.00,949.80,86.00,823.95,37.05,5000.00,-100.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19500.00,16.00,28.50,15.00,26.40,28.50,26.40,44129.00,430744.52,486.77,408600.00,171700.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17050.00,-,-,-,1715.40,-,2181.90,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18350.00,762.00,866.85,728.40,866.65,866.50,866.65,51.00,488.37,20.45,1200.00,750.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18400.00,637.25,817.00,637.25,808.70,817.00,808.70,108.00,1033.98,40.38,9250.00,450.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19550.00,20.15,20.75,13.00,18.10,20.75,18.10,5504.00,53848.75,47.15,84600.00,84600.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19600.00,7.00,14.00,7.00,13.10,13.95,13.10,14449.00,141682.10,81.90,217950.00,190400.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17100.00,-,-,-,1667.80,-,2132.05,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17450.00,1630.00,1630.00,1630.00,1630.00,1630.00,1759.30,1.00,9.54,0.81,950.00,50.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17500.00,1581.30,1690.00,1580.00,1685.30,1690.00,1685.30,18.00,172.08,14.58,20450.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18750.00,337.70,454.65,305.55,442.95,450.70,442.95,4668.00,44668.50,906.00,199250.00,-20050.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18800.00,271.15,408.10,263.55,395.00,403.00,395.00,74718.00,715435.91,13086.71,960350.00,-95400.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20100.00,1.15,1.30,0.75,0.85,0.80,0.85,62792.00,631091.70,32.10,279450.00,204400.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20150.00,1.10,1.35,0.70,0.80,1.20,0.80,27541.00,277489.01,13.44,78350.00,31550.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17550.00,1449.35,1570.00,1449.35,1570.00,1570.00,1659.45,2.00,19.06,1.51,16950.00,100.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18850.00,233.35,359.70,215.00,346.75,355.95,346.75,29710.00,284369.80,4353.05,408300.00,-14150.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20200.00,1.15,1.50,0.70,0.80,0.85,0.80,59724.00,603239.47,27.07,408100.00,352000.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20250.00,1.10,1.25,0.65,0.70,0.75,0.70,31543.00,319386.12,13.24,294600.00,273050.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17600.00,1481.50,1589.95,1481.50,1581.00,1589.95,1581.00,81.00,775.28,62.48,24900.00,-600.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17650.00,-,-,-,1350.00,1350.00,1559.55,-,-,-,10300.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18900.00,190.00,314.30,180.75,303.45,311.85,303.45,252707.00,2419745.29,31664.14,1865450.00,-627050.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18950.00,160.00,267.90,146.10,256.25,263.10,256.25,188559.00,1805998.61,19402.08,546450.00,-140550.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20300.00,1.10,1.10,0.60,0.70,0.70,0.70,91893.00,932750.15,36.20,1403800.00,1196200.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20350.00,1.20,1.20,0.55,0.65,0.70,0.65,47490.00,483228.43,17.68,469350.00,333500.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17700.00,1398.15,1460.40,1391.70,1460.40,1460.40,1509.60,20.00,191.34,14.34,18400.00,-950.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17750.00,-,-,-,1250.00,1250.00,1459.65,-,-,-,2200.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19000.00,120.00,224.00,116.25,213.50,220.00,213.50,1331613.00,12762213.28,111889.78,2619850.00,-2068500.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20400.00,1.10,1.10,0.55,0.65,0.65,0.65,60755.00,619722.70,21.70,845450.00,845450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,20450.00,0.95,1.00,0.55,0.60,0.60,0.60,48534.00,496276.66,16.51,680800.00,680800.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17800.00,1286.60,1390.00,1280.00,1379.45,1390.00,1379.45,55.00,526.52,37.02,35950.00,550.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17850.00,1327.85,1327.85,1326.70,1327.55,1326.70,1327.55,7.00,67.12,4.64,4100.00,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19050.00,102.10,182.50,90.00,171.95,179.00,171.95,1130141.00,10838701.45,74108.42,789900.00,-168450.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17700.00,-,-,-,1120.00,1120.00,1534.30,-,-,-,1200.00,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17750.00,-,-,-,1081.35,-,1484.70,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18950.00,215.50,316.05,215.50,307.30,316.00,307.30,3384.00,32507.56,444.16,28950.00,-9150.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19000.00,189.30,279.30,178.55,266.75,274.25,266.75,31666.00,304492.64,3665.64,345050.00,-27450.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,20200.00,2.65,3.10,2.00,2.20,2.15,2.20,739.00,7464.80,0.90,26750.00,7600.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,20250.00,2.95,3.00,1.90,2.10,2.05,2.10,175.00,1772.09,0.21,5750.00,1150.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17800.00,1330.75,1400.10,1330.75,1400.10,1400.10,1400.10,2.00,19.17,1.37,300.00,100.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19050.00,155.00,239.15,148.60,229.20,239.15,229.20,13350.00,128442.77,1284.02,60300.00,2300.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,20300.00,2.85,2.85,1.70,2.00,1.85,2.00,572.00,5806.42,0.62,19500.00,12250.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,20350.00,2.90,2.90,1.95,2.05,2.00,2.05,328.00,3337.77,0.37,14900.00,4950.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17850.00,-,-,-,998.80,-,1385.70,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17900.00,-,-,-,958.55,-,1336.40,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19100.00,126.65,203.10,124.85,195.00,200.60,195.00,57766.00,556455.86,4790.56,410100.00,-88950.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19150.00,101.60,170.15,101.60,163.35,167.85,163.35,28034.00,270368.34,1942.79,111700.00,-32050.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,20400.00,2.50,2.50,1.90,1.95,1.90,1.95,332.00,3386.73,0.33,10700.00,10700.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,20450.00,2.20,2.50,1.70,1.85,2.10,1.85,75.00,766.95,0.07,2450.00,2450.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,17950.00,-,-,-,919.00,-,1287.20,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,18000.00,1105.00,1205.00,1105.00,1205.00,1205.00,1205.00,51.00,488.12,29.12,4600.00,2450.00,-
NIFTY,30-Jun-2023,13-Jul-2023,CE,19200.00,84.40,141.50,75.30,134.50,141.50,134.50,63300.00,611272.68,3592.68,461300.00,-66600.00,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,19700.00,-,-,-,108.05,-,135.45,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,18400.00,782.00,855.60,782.00,850.60,848.90,850.60,28.00,268.98,11.38,750.00,750.00,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,18600.00,587.65,622.05,574.45,622.05,622.05,737.00,12.00,115.16,3.56,1300.00,100.00,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,19750.00,-,-,-,99.15,-,122.15,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,19800.00,57.85,57.85,11.30,13.45,13.35,13.45,504.00,4992.84,3.24,11400.00,11350.00,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,17150.00,-,-,-,1670.85,-,2105.60,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,18450.00,-,-,-,645.00,645.00,861.65,-,-,-,100.00,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,18500.00,670.00,751.80,670.00,746.65,751.80,746.65,5.00,48.04,1.79,800.00,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,18650.00,577.70,577.70,514.20,545.00,545.00,697.20,10.00,95.94,2.69,1550.00,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,19850.00,10.25,27.00,9.20,11.40,10.40,11.40,1024.00,10169.06,5.86,12000.00,9400.00,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,19900.00,-,-,-,75.95,-,88.35,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,17200.00,-,-,-,1623.40,-,2055.90,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,CE,17250.00,-,-,-,1576.25,-,2006.20,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19100.00,61.60,144.40,61.60,134.40,139.65,134.40,3714423.00,35664281.69,191542.04,3625550.00,761650.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17900.00,1213.00,1299.25,1197.55,1281.10,1299.25,1281.10,58.00,555.13,36.03,18300.00,-950.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19150.00,43.00,109.95,43.00,100.95,106.00,100.95,2441917.00,23480009.24,98653.96,1960850.00,608150.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19200.00,30.00,80.00,30.00,73.40,76.70,73.40,3259127.00,31381736.87,94117.67,6875600.00,3520900.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,17950.00,1130.00,1148.90,1130.00,1148.90,1148.90,1260.00,6.00,57.25,3.40,3200.00,300.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,18000.00,1064.10,1194.85,1064.10,1187.10,1192.00,1187.10,616.00,5892.78,348.78,80850.00,-2050.00,-
NIFTY,30-Jun-2023,06-Jul-2023,CE,19250.00,17.00,55.40,17.00,50.35,53.60,50.35,1412452.00,13622570.63,27720.13,2619400.00,1428350.00,-
