Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Mar-2022,31-Mar-2022,CE,17650.00,7.20,14.40,0.05,0.15,0.05,17464.75,2076711.00,18330545.17,3570.60,2413750.00,897900.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,19150.00,0.30,0.30,0.05,0.05,0.05,17464.75,5383.00,51542.68,0.46,8650.00,1600.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,19750.00,0.20,0.20,0.05,0.05,0.05,17464.75,1381.00,13637.41,0.04,17000.00,-4000.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,14500.00,3020.00,3057.90,2949.95,2968.80,2966.00,17464.75,2305.00,20190.91,3479.66,79150.00,-40500.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,15600.00,1882.00,1926.70,1857.20,1861.30,1861.30,17464.75,12.00,104.93,11.33,51950.00,-500.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,18150.00,0.70,0.85,0.05,0.05,0.05,17464.75,11674.00,105943.45,1.90,183550.00,-16200.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,18650.00,0.30,0.40,0.05,0.10,0.10,17464.75,2964.00,27639.56,0.26,17200.00,-5750.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,19200.00,0.20,0.40,0.05,0.10,0.10,17464.75,2706.00,25977.80,0.20,67800.00,850.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,14550.00,-,-,-,1378.10,-,17464.75,-,-,-,-,-,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,14600.00,-,-,-,1967.15,1967.15,17464.75,-,-,-,50.00,-,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,21000.00,0.15,0.20,0.05,0.10,0.05,17464.75,10977.00,115259.19,0.69,2084200.00,-252100.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,17700.00,0.90,5.00,0.05,0.15,0.05,17464.75,2022917.00,17904366.72,1551.27,4709250.00,502800.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,18200.00,0.60,0.80,0.05,0.05,0.05,17464.75,59771.00,543924.48,8.38,856250.00,-551900.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,18700.00,0.30,0.40,0.05,0.10,0.05,17464.75,9560.00,89386.78,0.78,218400.00,-11000.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,19800.00,0.30,0.40,0.05,0.05,0.05,17464.75,5176.00,51242.69,0.29,182350.00,-14100.00,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,14650.00,-,-,-,2844.50,2844.50,17464.75,-,-,-,100.00,-,-
NIFTY,31-Mar-2022,31-Mar-2022,CE,14700.00,-,-,-,2615.60,2615.60,17464.75,-,-,-,50.00,-,-
