Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-Sep-2023,05-Oct-2023,CE,19550.00,146.05,216.20,118.30,149.85,154.35,149.85,690983.00,6806836.76,52477.93,726200.00,-265000.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19800.00,39.00,54.95,22.70,27.70,27.00,27.70,2210263.00,21923770.43,42166.73,8667900.00,3186050.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,20900.00,2.20,2.25,0.85,1.00,0.85,1.00,51017.00,533159.20,31.55,260750.00,74900.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18500.00,1107.00,1238.50,1093.45,1156.50,1163.65,1156.50,2031.00,19977.08,1190.33,90600.00,75150.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19600.00,119.00,175.00,90.40,115.50,119.00,115.50,2897194.00,28573456.35,180955.15,3780750.00,-446900.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19850.00,30.00,37.35,15.15,18.05,17.35,18.05,1136924.00,11298458.70,14488.00,3402950.00,1352750.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,20950.00,1.55,2.00,0.75,0.95,0.85,0.95,25092.00,262853.56,14.86,38550.00,19900.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21000.00,1.40,1.80,0.85,0.95,1.00,0.95,124291.00,1305131.02,75.52,2024900.00,235900.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18550.00,-,-,-,1175.00,1175.00,1110.20,-,-,-,50.00,-,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18600.00,1026.00,1116.50,1000.00,1065.90,1065.90,1065.90,8.00,78.60,4.20,1600.00,50.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19650.00,99.95,138.85,67.05,87.10,88.90,87.10,2032819.00,20073500.73,101054.05,2033950.00,-31700.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19900.00,23.00,25.30,9.80,11.65,10.90,11.65,1324699.00,13191883.28,11128.23,4796950.00,1071500.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19950.00,15.05,16.45,6.30,7.25,6.65,7.25,833707.00,8320586.47,4359.15,2304400.00,917100.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21050.00,1.75,1.80,0.75,0.85,0.75,0.85,29591.00,311461.39,16.11,139650.00,45650.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21100.00,1.00,1.95,0.80,0.90,0.80,0.90,36015.00,379978.53,20.28,307050.00,-24550.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18650.00,982.00,982.00,960.05,960.05,960.05,1010.55,3.00,29.43,1.46,100.00,50.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19700.00,77.95,106.20,48.35,63.10,63.15,63.10,3373579.00,33360752.23,130999.08,6725400.00,265850.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19750.00,54.80,78.20,33.50,42.60,42.55,42.60,1748571.00,17315200.20,48061.57,4199900.00,1652750.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,20000.00,10.00,11.85,4.20,5.00,4.60,5.00,1335760.00,13362456.59,4856.59,5557000.00,940350.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21150.00,1.80,1.80,0.70,0.80,0.80,0.80,13448.00,142219.76,7.16,76500.00,31250.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21200.00,1.30,2.05,0.85,0.90,0.90,0.90,24408.00,258738.23,13.43,747250.00,72350.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18700.00,900.00,1039.60,900.00,944.75,944.75,944.75,32.00,315.09,15.89,5900.00,-,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18750.00,-,-,-,835.20,835.20,911.25,-,-,-,150.00,-,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,20050.00,8.20,8.70,2.95,3.35,3.00,3.35,624337.00,6260461.02,1482.60,1646000.00,103300.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21250.00,0.60,2.00,0.60,0.90,0.80,0.90,13550.00,143976.35,7.60,357400.00,-10150.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21300.00,1.50,1.55,0.75,0.85,0.75,0.85,18231.00,194169.54,9.39,569950.00,122300.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21500.00,1.50,1.50,0.75,0.90,0.85,0.90,126898.00,1364218.43,64.93,3567250.00,-464050.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21550.00,1.30,1.85,0.75,0.90,0.95,0.90,4651.00,50116.93,2.40,118750.00,7000.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,17750.00,-,-,-,1797.85,-,1909.10,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18900.00,716.70,836.90,694.55,751.40,752.75,751.40,49.00,481.95,18.90,4000.00,300.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,18950.00,664.00,702.35,655.00,701.30,700.20,701.30,12.00,117.76,4.06,900.00,100.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,20250.00,2.00,3.85,1.40,1.60,1.50,1.60,341610.00,3459137.16,335.91,2736200.00,1378050.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21600.00,1.65,1.65,0.75,0.80,0.85,0.80,19224.00,207629.18,9.98,554950.00,81050.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21650.00,1.85,1.85,0.75,0.85,0.85,0.85,7850.00,84980.33,4.08,83200.00,24400.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,21700.00,1.50,1.50,0.75,0.85,0.75,0.85,71886.00,779997.76,34.66,1996650.00,255500.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,17800.00,1790.00,1959.30,1790.00,1858.00,1864.35,1858.00,131.00,1289.39,123.49,6250.00,5850.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,17850.00,-,-,-,1755.00,1755.00,1809.25,-,-,-,150.00,-,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,19000.00,610.15,740.35,585.00,664.25,665.30,664.25,13071.00,128548.71,4374.21,212100.00,87350.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,20300.00,2.90,3.45,1.20,1.35,1.30,1.35,450341.00,4571334.82,373.67,4113050.00,82600.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,20350.00,3.15,3.20,1.15,1.35,1.20,1.35,104960.00,1068052.48,84.48,467550.00,-37900.00,19638.30
NIFTY,29-Sep-2023,05-Oct-2023,CE,17900.00,-,-,-,1825.00,1825.00,1759.30,-,-,-,50.00,-,19638.30
