Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Jun-2023,06-Jul-2023,PE,18900.00,44.70,48.80,17.45,18.75,18.65,18.75,1384918.00,13105187.66,17712.56,7720800.00,1547300.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18950.00,52.60,64.35,22.25,23.90,23.00,23.90,876172.00,8316194.18,14464.48,2991200.00,1032500.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20300.00,-,-,-,1697.75,-,1088.15,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20350.00,-,-,-,1744.95,-,1137.85,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20400.00,-,-,-,1792.40,-,1187.65,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20450.00,-,-,-,1840.05,-,1237.50,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17700.00,2.70,5.50,2.00,3.00,5.50,3.00,89555.00,792675.32,113.57,764950.00,147700.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17750.00,2.85,4.00,2.10,3.20,3.70,3.20,52285.00,464099.52,70.14,278050.00,133150.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19000.00,71.00,82.80,28.00,30.15,29.00,30.15,2543479.00,24218716.36,55665.86,11841800.00,6945300.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17800.00,1.95,4.00,1.95,3.20,4.00,3.20,190216.00,1693186.90,264.50,1892550.00,803500.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17850.00,3.15,3.85,2.10,3.20,3.85,3.20,64567.00,576352.37,91.89,292150.00,118400.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19050.00,82.00,107.60,36.75,39.40,37.00,39.40,1449814.00,13851446.29,41967.94,3798050.00,3440700.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19100.00,111.10,133.50,48.00,51.65,48.00,51.65,3171705.00,30406644.15,116861.40,8526750.00,7783250.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17900.00,2.80,3.90,2.25,3.25,3.75,3.25,162432.00,1453998.10,231.70,1122350.00,277050.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19150.00,130.05,163.60,63.50,68.50,64.00,68.50,1360336.00,13085115.81,59898.61,3086800.00,2886400.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19200.00,156.70,199.65,83.85,90.00,85.75,90.00,1343155.00,12970968.80,76680.80,4696000.00,4386450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17950.00,3.50,3.90,2.40,3.35,3.65,3.35,60686.00,544747.26,90.41,304950.00,103200.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18000.00,3.60,4.25,2.40,3.55,4.00,3.55,570647.00,5136718.72,895.72,5918450.00,1918000.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19250.00,191.10,238.85,109.50,117.35,112.20,117.35,228442.00,2214911.31,16157.06,762250.00,744650.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18050.00,2.35,4.30,2.20,3.70,3.90,3.70,80369.00,725460.95,130.72,321000.00,150500.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18100.00,2.85,4.50,2.70,3.85,4.20,3.85,213658.00,1933968.46,363.56,1480700.00,403200.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19300.00,246.50,277.75,140.40,149.60,143.60,149.60,265519.00,2586111.58,23853.23,1099200.00,1056450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19350.00,305.25,306.45,176.25,186.35,178.80,186.35,27673.00,270653.81,2917.53,154300.00,137550.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18600.00,26.30,29.10,11.00,18.10,20.20,18.10,29074.00,270686.03,297.83,520000.00,171800.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19700.00,600.00,600.00,530.40,530.40,530.40,542.65,12.00,121.58,3.38,300.00,300.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19750.00,-,-,-,1072.00,-,582.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18650.00,42.15,42.15,19.55,20.45,22.80,20.45,9923.00,92647.43,115.45,160150.00,50750.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19800.00,675.35,675.35,593.10,596.20,593.10,596.20,6.00,61.28,1.88,200.00,200.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19850.00,-,-,-,1156.30,-,664.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18700.00,42.90,42.95,22.70,23.90,26.80,23.90,40756.00,381639.03,570.43,519650.00,94850.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18750.00,50.70,50.70,27.00,28.25,27.55,28.25,16551.00,155447.27,281.64,295750.00,124350.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19900.00,-,-,-,1199.30,-,706.50,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19950.00,-,-,-,1242.75,-,749.80,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18800.00,64.50,64.50,31.70,32.95,34.75,32.95,58884.00,554690.02,1180.42,727600.00,255250.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,20000.00,880.00,880.00,874.05,874.05,874.05,793.95,3.00,31.32,1.32,100.00,100.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18850.00,70.05,72.00,37.00,38.75,39.75,38.75,21854.00,206489.39,515.44,291450.00,194400.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18900.00,77.45,84.35,43.00,46.40,46.25,46.40,57402.00,544081.67,1632.77,873050.00,404550.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,20050.00,-,-,-,1331.00,-,838.80,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18150.00,3.90,4.75,1.65,4.00,4.25,4.00,86324.00,783544.81,154.51,492050.00,202100.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19400.00,350.35,368.10,217.35,228.10,224.00,228.10,41269.00,405740.02,5430.72,257900.00,215750.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18200.00,4.10,5.10,3.05,4.20,4.55,4.20,365608.00,3327727.40,694.60,2779050.00,651350.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18250.00,4.90,5.10,3.45,4.30,5.05,4.30,130833.00,1194108.81,257.69,1118200.00,629850.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19450.00,374.10,374.15,261.50,274.10,265.00,274.10,2727.00,26944.06,423.99,17350.00,15250.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19500.00,449.25,467.75,309.10,321.15,313.00,321.15,17150.00,170283.37,3070.87,122350.00,79350.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17000.00,2.05,2.75,1.55,2.15,2.60,2.15,367220.00,3121718.99,348.99,6493100.00,1788450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18300.00,6.00,6.00,3.55,4.65,4.85,4.65,452170.00,4138327.04,971.54,4576900.00,2825200.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18350.00,5.85,5.85,3.95,4.80,5.30,4.80,130782.00,1200218.63,293.78,729650.00,209400.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19550.00,500.00,500.00,359.10,365.40,361.00,365.40,392.00,3922.05,90.25,13600.00,13600.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19600.00,541.15,541.25,405.20,416.20,411.20,416.20,2000.00,20080.50,480.50,24600.00,14000.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17050.00,2.25,2.95,1.55,2.30,2.90,2.30,14654.00,124939.83,14.48,75000.00,62650.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18400.00,6.50,6.50,2.75,5.30,5.45,5.30,389041.00,3580126.77,949.57,2894000.00,582050.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19650.00,577.05,578.30,462.10,465.40,462.10,465.40,310.00,3131.28,85.53,11000.00,11000.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19700.00,622.95,623.05,504.30,512.55,512.95,512.55,785.00,7965.13,232.88,14800.00,14350.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17100.00,2.10,3.40,1.25,2.65,3.20,2.65,79392.00,678892.05,90.45,1448100.00,1346900.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17150.00,2.10,3.15,1.60,2.50,2.85,2.50,5963.00,51139.24,6.51,52800.00,48100.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18450.00,4.90,6.90,4.50,5.30,5.40,5.30,166370.00,1535196.40,433.15,1095200.00,356500.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18500.00,7.50,7.50,5.15,5.90,6.70,5.90,651438.00,6027692.09,1890.59,5251650.00,2065200.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19750.00,653.00,653.00,558.30,573.65,558.30,573.65,18.00,183.20,5.45,550.00,400.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17200.00,1.95,3.50,1.65,2.70,3.50,2.70,101094.00,869522.46,114.06,1482600.00,1346000.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19450.00,386.20,386.20,276.80,280.40,278.35,280.40,129.00,1275.00,20.48,4850.00,4350.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18250.00,10.65,10.65,7.90,8.35,8.75,8.35,1339.00,12224.34,5.96,24250.00,2150.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18300.00,15.00,15.00,8.75,9.15,9.65,9.15,10440.00,95576.32,50.32,124300.00,-68550.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19500.00,446.15,446.15,313.60,321.45,316.90,321.45,1128.00,11196.73,198.73,21350.00,20600.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18350.00,13.10,13.10,9.55,10.15,11.15,10.15,5262.00,48307.83,28.98,34300.00,-28600.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18400.00,19.40,19.40,10.60,11.10,12.40,11.10,13370.00,123086.13,82.13,178250.00,-31200.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19550.00,384.15,384.15,384.15,384.15,384.15,431.80,1.00,9.97,0.20,50.00,50.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19600.00,538.30,538.30,399.45,406.50,403.20,406.50,92.00,921.39,19.79,2350.00,2350.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18450.00,18.00,20.00,11.75,12.35,12.25,12.35,5968.00,55094.87,40.07,42650.00,-60950.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19650.00,-,-,-,989.95,-,505.20,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18500.00,22.00,25.15,13.10,13.80,15.95,13.80,23612.00,218590.44,179.44,440150.00,11200.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18550.00,23.05,24.90,14.80,15.55,17.75,15.55,5417.00,50291.68,49.01,59550.00,-3950.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17350.00,2.65,2.65,2.65,2.65,2.65,0.10,2.00,17.35,-,2650.00,-50.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17400.00,3.35,4.05,2.65,3.55,3.95,3.55,380.00,3306.63,0.63,10500.00,8200.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17450.00,2.75,4.05,2.75,3.30,2.90,3.30,113.00,986.11,0.18,2500.00,2050.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17500.00,4.00,5.45,3.15,3.70,4.40,3.70,4834.00,42305.99,8.49,108350.00,52950.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17550.00,3.20,4.35,3.10,3.65,4.35,3.65,204.00,1790.45,0.35,3650.00,3100.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17600.00,4.60,4.65,3.25,3.85,4.40,3.85,663.00,5835.63,1.23,12100.00,50.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17650.00,3.95,4.85,3.15,3.55,4.10,3.55,110.00,970.95,0.20,4850.00,850.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17700.00,3.75,4.65,3.55,4.10,4.65,4.10,661.00,5851.12,1.27,16700.00,-150.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17750.00,4.10,4.55,3.55,4.30,4.50,4.30,58.00,514.87,0.12,2550.00,-150.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17800.00,4.55,5.20,3.90,4.60,5.20,4.60,4746.00,42249.67,10.27,50050.00,20400.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17050.00,3.80,3.80,1.80,3.10,3.35,3.10,673.00,5738.18,0.85,6700.00,-4500.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17100.00,3.45,4.40,2.05,3.40,4.40,3.40,6032.00,51581.82,8.22,181050.00,173250.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17150.00,2.30,3.15,2.20,2.75,2.75,2.75,174.00,1492.28,0.23,2900.00,1000.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17200.00,2.50,3.75,2.30,3.15,3.20,3.15,1147.00,9865.80,1.60,12650.00,10300.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17250.00,2.50,3.40,2.50,3.40,3.40,3.40,30.00,258.80,0.05,1700.00,1250.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,17300.00,2.70,3.70,2.55,3.40,3.65,3.40,598.00,5173.67,0.97,16850.00,10000.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19800.00,-,-,-,1067.10,-,644.50,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19850.00,-,-,-,1109.00,-,683.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17450.00,3.85,4.35,3.85,4.35,4.30,4.35,8.00,69.82,0.02,200.00,200.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17500.00,7.00,7.00,4.20,4.75,5.40,4.75,249.00,2179.34,0.59,8550.00,5950.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18650.00,43.40,45.80,34.30,35.50,37.50,35.50,677.00,6326.52,13.49,10750.00,5900.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18700.00,61.30,61.95,39.20,40.50,44.20,40.50,2492.00,23357.56,57.36,69150.00,26350.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19900.00,-,-,-,1151.50,-,722.45,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17550.00,4.50,5.30,4.25,4.70,5.30,4.70,61.00,535.42,0.14,450.00,450.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18750.00,73.25,73.25,44.75,46.10,48.60,46.10,718.00,6750.04,18.79,11300.00,4950.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17600.00,4.85,5.40,4.25,4.85,4.85,4.85,95.00,836.23,0.23,650.00,450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17250.00,2.30,3.30,1.60,2.65,3.30,2.65,9665.00,83371.00,10.38,68700.00,64000.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18550.00,10.35,10.35,5.40,6.10,6.95,6.10,223269.00,2071533.25,713.27,1351400.00,622000.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19800.00,704.25,706.10,609.00,612.05,611.95,612.05,92.00,941.41,30.61,1500.00,1500.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19850.00,-,-,-,1285.95,-,649.85,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17300.00,1.95,3.60,1.70,2.80,3.60,2.80,80620.00,697461.40,98.40,1531450.00,1344850.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18600.00,13.00,13.00,6.05,6.75,7.60,6.75,595641.00,5541608.16,2146.86,3816950.00,1703700.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18650.00,16.95,16.95,6.85,7.50,8.10,7.50,312370.00,2914165.87,1315.62,1553200.00,757000.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19900.00,798.20,804.80,711.90,723.50,711.90,723.50,66.00,682.44,25.74,1600.00,1600.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,19950.00,-,-,-,1375.00,-,744.70,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17350.00,2.00,5.00,1.70,2.70,5.00,2.70,5533.00,48005.21,6.43,54000.00,42450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17400.00,2.40,5.00,1.70,2.75,4.35,2.75,75674.00,658453.57,89.77,1085500.00,676450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18700.00,13.85,19.70,8.00,8.65,9.50,8.65,776144.00,7260765.24,3818.84,5179050.00,1601350.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20000.00,914.55,915.50,805.40,815.45,812.00,815.45,242.00,2524.57,104.57,14150.00,2600.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20050.00,-,-,-,1465.60,-,841.50,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17450.00,3.50,3.50,1.85,2.85,3.20,2.85,9243.00,80656.23,11.05,60550.00,45700.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17500.00,2.40,3.90,1.80,2.80,3.90,2.80,250586.00,2192916.00,288.50,3176550.00,829300.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18750.00,21.00,25.30,9.30,10.10,9.90,10.10,463115.00,4344482.70,2779.57,2362250.00,976800.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18800.00,25.00,35.00,11.25,12.20,13.15,12.20,987272.00,9287946.93,7590.13,6815600.00,2044750.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20100.00,-,-,-,1511.45,-,890.45,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20150.00,-,-,-,1557.60,-,939.60,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17550.00,1.80,4.00,1.75,2.90,4.00,2.90,14554.00,127729.28,17.93,60650.00,43250.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17600.00,2.55,5.00,1.85,2.95,5.00,2.95,65697.00,578215.76,82.16,787650.00,248450.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,18850.00,35.00,38.00,13.90,14.80,15.60,14.80,573317.00,5409054.68,5541.95,2601000.00,764150.00,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20200.00,-,-,-,1604.05,-,989.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,20250.00,-,-,-,1650.75,-,1038.50,-,-,-,-,-,-
NIFTY,30-Jun-2023,06-Jul-2023,PE,17650.00,2.00,4.50,2.00,3.05,4.50,3.05,25275.00,223083.96,32.09,120700.00,66450.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18200.00,17.00,17.00,10.80,11.55,13.80,11.55,4003.00,36451.05,23.75,50100.00,-3350.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18250.00,-,-,-,170.05,-,28.80,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19350.00,277.15,283.95,227.95,230.15,233.45,230.15,37.00,362.77,4.79,950.00,950.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,20150.00,-,-,-,1371.20,-,932.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18300.00,-,-,-,184.90,-,33.45,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18350.00,-,-,-,200.70,-,38.75,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19400.00,324.70,327.90,267.50,267.50,267.50,267.50,37.00,364.47,5.57,1000.00,950.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19450.00,360.25,360.25,285.20,294.45,285.20,294.45,43.00,425.33,7.16,1700.00,1700.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,20200.00,-,-,-,1416.40,-,976.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,20250.00,-,-,-,1461.95,-,1020.60,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17150.00,2.75,3.75,2.75,3.75,3.75,3.75,23.00,197.26,0.04,1300.00,1150.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18400.00,34.15,34.15,17.05,17.70,20.70,17.70,2225.00,20492.25,22.25,35600.00,2400.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19500.00,444.00,444.00,323.00,326.35,325.00,326.35,276.00,2741.84,50.84,4550.00,4550.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,20300.00,-,-,-,1507.85,-,1065.75,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17200.00,3.55,4.20,2.85,4.00,4.10,4.00,79.00,679.54,0.14,2750.00,2500.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17250.00,2.60,4.30,2.60,3.80,3.80,3.80,61.00,526.23,0.10,2150.00,550.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18450.00,-,-,-,235.00,-,51.35,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19550.00,414.90,414.90,376.10,376.10,376.10,376.10,4.00,39.89,0.79,200.00,200.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19600.00,-,-,-,905.45,-,500.60,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,20350.00,-,-,-,1554.10,-,1111.40,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,20400.00,-,-,-,1600.60,-,1157.45,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,20450.00,-,-,-,1647.40,-,1204.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17300.00,3.50,3.50,3.00,3.45,3.45,3.45,60.00,519.10,0.10,2250.00,2200.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18500.00,34.75,34.80,22.80,23.80,26.30,23.80,2712.00,25122.14,36.14,56700.00,22600.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18550.00,-,-,-,273.15,-,67.00,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19650.00,490.85,490.85,444.00,451.70,444.00,451.70,6.00,60.36,1.41,250.00,250.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19700.00,-,-,-,985.00,-,570.35,-,-,-,-,-,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17350.00,3.95,3.95,3.05,3.90,3.85,3.90,56.00,485.90,0.10,1000.00,900.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,17400.00,3.85,4.65,3.25,4.15,4.15,1.15,88.00,765.77,0.17,1150.00,1150.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,18600.00,50.40,50.40,30.20,31.90,34.30,31.90,2279.00,21235.18,40.48,98000.00,17650.00,-
NIFTY,30-Jun-2023,20-Jul-2023,PE,19750.00,-,-,-,1025.75,-,606.80,-,-,-,-,-,-
NIFTY,30-Jun-2023,27-Jul-2023,PE,16800.00,5.00,5.05,3.35,4.25,4.60,4.25,482.00,4049.81,1.01,30550.00,-5900.00,-
NIFTY,30-Jun-2023,27-Jul-2023,PE,17300.00,6.75,6.95,5.10,5.45,5.80,5.45,3965.00,34308.42,11.17,115600.00,-28400.00,-
NIFTY,30-Jun-2023,27-Jul-2023,PE,17800.00,10.10,12.05,7.80,9.30,11.15,9.30,21138.00,188228.25,100.05,686950.00,-29850.00,-
NIFTY,30-Jun-2023,27-Jul-2023,PE,18250.00,25.05,25.70,19.30,21.60,24.70,21.60,3970.00,36271.69,45.44,69250.00,-14800.00,-
NIFTY,30-Jun-2023,27-Jul-2023,PE,19650.00,570.60,570.60,432.85,437.25,435.35,437.25,121.00,1218.66,29.84,3850.00,3250.00,-
NIFTY,30-Jun-2023,27-Jul-2023,PE,17350.00,6.00,6.95,5.15,6.20,6.95,6.20,146.00,1267.00,0.45,5250.00,1500.00,-
NIFTY,30-Jun-2023,27-Jul-2023,PE,18300.00,27.45,34.90,21.25,23.55,26.75,23.55,34452.00,315668.27,432.47,1004800.00,218350.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,20100.00,-,-,-,1375.80,-,884.35,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,18950.00,87.45,101.50,53.20,55.20,56.10,55.20,19095.00,181575.37,650.25,197200.00,106300.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,20150.00,-,-,-,1420.95,-,930.45,-,-,-,-,-,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19000.00,102.25,120.00,63.20,66.00,68.00,66.00,77650.00,740797.18,3122.18,1070950.00,636400.00,-
NIFTY,30-Jun-2023,13-Jul-2023,PE,19050.00,136.80,140.00,75.00,78.30,76.50,78.30,23561.00,225557.31,1138.79,201550.00,176100.00,-
