Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Mar-2024,28-Mar-2024,PE,23800.00,1470.00,1512.05,1327.80,1507.20,1512.05,22326.90,33.00,416.08,23.38,1250.00,300.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,16000.00,0.15,0.30,0.05,0.10,0.10,22326.90,5838.00,46704.39,0.39,108050.00,1000.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,19850.00,0.40,0.55,0.05,0.10,0.10,22326.90,2235.00,22182.63,0.26,7400.00,-1700.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,20400.00,0.40,1.20,0.05,0.05,0.05,22326.90,30653.00,312664.07,3.47,301800.00,-88800.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,21350.00,0.35,1.10,0.05,0.10,0.05,22326.90,263579.00,2813771.30,65.47,704200.00,122200.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,21800.00,1.95,2.00,0.05,0.15,0.05,22326.90,4331531.00,47215401.14,1713.24,5137500.00,-3023300.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,22250.00,89.55,90.00,0.10,6.00,0.25,22326.90,16659851.00,185437660.23,96817.85,8150750.00,7183650.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,22350.00,204.20,204.20,1.20,29.85,23.10,22326.90,16958444.00,189724747.47,214135.77,8098900.00,7925400.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,22800.00,600.00,600.05,270.60,448.65,472.55,22326.90,13359.00,154814.30,2521.70,36900.00,1300.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,23850.00,-,-,-,1717.10,1717.10,22326.90,-,-,-,50.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,19900.00,0.40,0.65,0.05,0.10,0.05,22326.90,14622.00,145490.38,1.48,91000.00,-42200.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,20900.00,0.45,0.95,0.05,0.05,0.05,22326.90,204518.00,2137245.75,32.65,1008650.00,-348500.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,22400.00,236.75,236.75,2.20,45.75,72.90,22326.90,18163017.00,203707548.56,281758.16,10745750.00,9969000.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,22850.00,625.00,625.00,325.00,503.00,521.90,22326.90,2313.00,26929.06,503.04,18500.00,3550.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,23300.00,815.20,1029.20,800.00,996.65,972.40,22326.90,25.00,303.42,12.17,3750.00,100.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,23900.00,-,-,-,1788.00,1788.00,22326.90,-,-,-,500.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,23950.00,-,-,-,1376.70,1376.70,22326.90,-,-,-,100.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,17000.00,0.30,0.30,0.05,0.10,0.05,22326.90,7323.00,62246.03,0.53,239400.00,14750.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,20450.00,0.45,0.75,0.05,0.10,0.05,22326.90,8034.00,82148.77,1.12,18600.00,-28250.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,20950.00,0.45,1.00,0.05,0.05,0.05,22326.90,132618.00,1389194.58,21.03,207850.00,-257300.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,21400.00,0.45,1.10,0.05,0.10,0.05,22326.90,608472.00,6510805.48,155.08,2752500.00,48800.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,23450.00,-,-,-,1250.00,1250.00,22326.90,-,-,-,850.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,24150.00,-,-,-,1570.35,1570.35,22326.90,-,-,-,50.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,24200.00,-,-,-,2004.10,2004.10,22326.90,-,-,-,150.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,24250.00,-,-,-,2120.00,2120.00,22326.90,-,-,-,50.00,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,20050.00,0.40,1.45,0.05,0.10,0.05,22326.90,23006.00,230638.26,3.11,52900.00,-9750.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,21050.00,0.25,0.95,0.05,0.05,0.05,22326.90,164276.00,1729035.15,30.25,654550.00,359100.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,23000.00,807.90,813.95,471.45,660.95,674.00,22326.90,13489.00,159243.35,4119.85,487100.00,-70600.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,19500.00,0.35,0.45,0.05,0.10,0.05,22326.90,45135.00,440070.69,4.44,298200.00,-438100.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,20100.00,0.10,0.75,0.05,0.10,0.05,22326.90,25766.00,258951.57,3.27,201100.00,-73900.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,20600.00,0.35,0.75,0.05,0.10,0.10,22326.90,23855.00,245709.79,3.29,242100.00,-171650.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,21550.00,0.50,1.25,0.05,0.10,0.05,22326.90,592310.00,6382307.93,167.68,1324400.00,395450.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,22000.00,9.25,14.00,0.05,0.70,0.10,22326.90,9251198.00,101772187.15,9009.15,11088000.00,-3641750.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,22550.00,363.60,363.65,37.05,168.50,223.20,22326.90,1865883.00,21111169.01,73338.19,2271450.00,2235350.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,23500.00,1323.90,1323.90,973.35,1182.10,1174.55,22326.90,4184.00,51573.32,2411.32,265350.00,-4950.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,25000.00,2800.00,2800.00,2472.15,2682.50,2671.75,22326.90,4899.00,67672.02,6434.52,122500.00,-128750.00,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,PE,19550.00,0.40,1.90,0.05,0.10,0.10,22326.90,12271.00,119950.35,1.32,37050.00,-56200.00,22326.90
