Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Dec-2024,02-Jan-2025,PE,22700.00,2.55,4.80,2.10,4.00,3.55,4.00,428033.00,7288538.68,1276.86,5751075.00,3076200.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,21650.00,0.95,1.65,0.70,1.40,1.45,1.40,80160.00,1301677.67,79.67,739350.00,323925.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,22900.00,3.00,8.65,3.00,5.65,5.00,5.65,520804.00,8947263.85,2455.15,3614775.00,1517775.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,24000.00,420.00,533.15,293.40,333.50,319.25,333.50,81955.00,1499426.48,24236.48,1896675.00,-395625.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,25000.00,1418.20,1510.85,1253.70,1304.20,1301.20,1304.20,301.00,5960.70,316.95,194325.00,-1125.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,25050.00,1480.00,1480.00,1480.00,1480.00,1480.00,1395.95,1.00,19.90,1.11,75.00,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,26250.00,-,-,-,2630.40,2630.40,2595.50,-,-,-,-,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,26300.00,-,-,-,2490.55,2490.55,2645.50,-,-,-,750.00,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,21700.00,1.10,1.75,0.80,1.45,1.55,1.45,109762.00,1786492.90,116.35,1404225.00,666975.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,21750.00,0.85,2.00,0.85,1.60,1.50,1.60,40695.00,663883.64,46.45,621450.00,404400.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,22950.00,2.25,10.80,0.05,6.50,5.30,6.50,368125.00,6338486.16,2134.60,1620300.00,852150.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,23000.00,9.00,13.55,6.50,7.55,7.40,7.55,1155882.00,19947096.81,8132.31,7901775.00,1439100.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,24050.00,497.00,576.05,334.35,375.80,361.65,375.80,3756.00,69003.38,1254.53,126675.00,-32325.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,25100.00,1515.00,1540.00,1391.05,1391.05,1391.05,1391.05,5.00,99.65,5.53,15150.00,-150.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,26350.00,-,-,-,2789.60,-,2695.45,-,-,-,-,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,26400.00,-,-,-,2838.30,-,2745.45,-,-,-,-,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,21800.00,0.90,1.90,0.85,1.65,1.75,1.65,93927.00,1535820.27,113.82,1611375.00,742425.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,23050.00,13.85,17.75,7.85,9.00,7.95,9.00,453128.00,7837410.82,3960.52,2330325.00,276825.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,24100.00,542.00,625.75,372.75,418.60,406.20,418.60,6705.00,123629.20,2436.32,430125.00,-80700.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,24150.00,589.00,671.15,419.10,463.45,457.95,463.45,1413.00,26143.14,550.18,120750.00,-8025.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,25150.00,-,-,-,1258.00,1258.00,1495.90,-,-,-,300.00,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,25200.00,1600.00,1626.10,1573.15,1589.30,1589.30,1545.90,15.00,301.47,17.97,20400.00,-375.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,PE,24600.00,981.05,1060.60,850.20,885.00,885.00,885.00,29.00,555.90,20.85,11850.00,975.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,26450.00,-,-,-,2887.10,-,2795.40,-,-,-,-,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,26500.00,-,-,-,2672.40,2672.35,2845.40,-,-,-,4200.00,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,21850.00,0.90,2.05,0.90,1.70,1.70,1.70,55728.00,913314.29,71.69,721950.00,538275.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,21900.00,1.15,2.15,0.90,1.80,1.75,1.80,137478.00,2258259.70,183.55,2232075.00,666825.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,23100.00,9.60,22.70,8.55,10.50,9.55,10.50,744220.00,12901579.15,7967.65,3918825.00,810375.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,23150.00,9.40,29.60,9.40,12.90,11.70,12.90,529057.00,9192921.69,7169.53,2693625.00,391200.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,24200.00,610.00,716.75,463.50,515.50,501.70,515.50,4664.00,86653.83,2002.23,304050.00,-68925.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,25250.00,-,-,-,1520.00,1520.00,1595.85,-,-,-,2925.00,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,21950.00,1.10,2.30,0.90,1.95,1.95,1.95,60279.00,992428.70,85.66,710850.00,508050.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,22000.00,1.10,2.40,1.00,2.00,1.95,2.00,409395.00,6755616.04,598.54,9658650.00,5449275.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,23200.00,17.40,38.55,14.05,16.20,14.65,16.20,1168072.00,20345313.62,20860.82,5018700.00,-1131450.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,24250.00,679.15,762.40,514.40,558.45,556.75,558.45,550.00,10261.56,258.44,64725.00,-4800.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,PE,25300.00,1807.40,1807.40,1605.00,1605.00,1605.00,1605.00,13.00,262.56,15.88,9600.00,-,23644.80
