Date,Expiry,Strike,Option Type,ClosePrice,OpenInterest
03-01-2022,06-01-2022,18800,CE,305.3,132059
03-01-2022,06-01-2022,18800,PE,148.94,314055
03-01-2022,06-01-2022,18850,CE,59.89,392965
03-01-2022,06-01-2022,18850,PE,239.74,98964
03-01-2022,06-01-2022,18900,CE,207.3,465080
03-01-2022,06-01-2022,18900,PE,295.22,321089
03-01-2022,06-01-2022,18950,CE,98.15,354922
03-01-2022,06-01-2022,18950,PE,285.13,72391
03-01-2022,06-01-2022,19000,CE,232.41,409415
03-01-2022,06-01-2022,19000,PE,225.94,162125
04-01-2022,06-01-2022,18300,CE,138.97,176639
04-01-2022,06-01-2022,18300,PE,98.32,218704
04-01-2022,06-01-2022,18350,CE,134.55,149072
04-01-2022,06-01-2022,18350,PE,176.97,141662
04-01-2022,06-01-2022,18400,CE,68.86,47799
04-01-2022,06-01-2022,18400,PE,46.15,54442
04-01-2022,06-01-2022,18450,CE,331.49,375307
04-01-2022,06-01-2022,18450,PE,273.98,381313
04-01-2022,06-01-2022,18500,CE,339.26,166295
04-01-2022,06-01-2022,18500,PE,87.12,257339
05-01-2022,06-01-2022,18100,CE,325.34,276343
05-01-2022,06-01-2022,18100,PE,77.58,336496
05-01-2022,06-01-2022,18150,CE,347.61,291887
05-01-2022,06-01-2022,18150,PE,47.12,220781
05-01-2022,06-01-2022,18200,CE,363.59,29978
05-01-2022,06-01-2022,18200,PE,193.85,423154
05-01-2022,06-01-2022,18250,CE,162.81,331687
05-01-2022,06-01-2022,18250,PE,291.01,250327
05-01-2022,06-01-2022,18300,CE,26.3,26463
05-01-2022,06-01-2022,18300,PE,213.1,219740
06-01-2022,06-01-2022,19700,CE,376.5,335383
06-01-2022,06-01-2022,19700,PE,116.34,452768
06-01-2022,06-01-2022,19750,CE,189.13,143096
06-01-2022,06-01-2022,19750,PE,103.99,446671
06-01-2022,06-01-2022,19800,CE,43.95,224413
06-01-2022,06-01-2022,19800,PE,47.72,422540
06-01-2022,06-01-2022,19850,CE,359.71,182821
06-01-2022,06-01-2022,19850,PE,127.54,150575
06-01-2022,06-01-2022,19900,CE,170.32,173712
06-01-2022,06-01-2022,19900,PE,86.35,336578
07-01-2022,13-01-2022,15750,CE,221.25,113471
07-01-2022,13-01-2022,15750,PE,23.5,196582
07-01-2022,13-01-2022,15800,CE,268.67,401507
07-01-2022,13-01-2022,15800,PE,173.73,26455
07-01-2022,13-01-2022,15850,CE,124.49,182800
07-01-2022,13-01-2022,15850,PE,150.13,203990
07-01-2022,13-01-2022,15900,CE,41.99,424423
07-01-2022,13-01-2022,15900,PE,70.86,137050
07-01-2022,13-01-2022,15950,CE,110.85,245075
07-01-2022,13-01-2022,15950,PE,152.63,255706
10-01-2022,13-01-2022,17250,CE,251.78,186838
10-01-2022,13-01-2022,17250,PE,126.64,406828
10-01-2022,13-01-2022,17300,CE,319.72,356077
10-01-2022,13-01-2022,17300,PE,162.21,297506
10-01-2022,13-01-2022,17350,CE,221,479487
10-01-2022,13-01-2022,17350,PE,180.87,363555
10-01-2022,13-01-2022,17400,CE,21.54,104230
10-01-2022,13-01-2022,17400,PE,68.96,366957
10-01-2022,13-01-2022,17450,CE,46.98,381485
10-01-2022,13-01-2022,17450,PE,209.95,378060
11-01-2022,13-01-2022,21550,CE,37.67,223297
11-01-2022,13-01-2022,21550,PE,343.68,57833
11-01-2022,13-01-2022,21600,CE,280.97,106234
11-01-2022,13-01-2022,21600,PE,354.64,204350
11-01-2022,13-01-2022,21650,CE,163.77,83430
11-01-2022,13-01-2022,21650,PE,88.88,355771
11-01-2022,13-01-2022,21700,CE,134.78,211763
11-01-2022,13-01-2022,21700,PE,281.81,362166
11-01-2022,13-01-2022,21750,CE,326.56,335940
11-01-2022,13-01-2022,21750,PE,389.2,144679
12-01-2022,13-01-2022,21300,CE,244.5,42889
12-01-2022,13-01-2022,21300,PE,130.36,196764
12-01-2022,13-01-2022,21350,CE,69.46,52462
12-01-2022,13-01-2022,21350,PE,59.91,291755
12-01-2022,13-01-2022,21400,CE,225.27,429380
12-01-2022,13-01-2022,21400,PE,258.36,438461
12-01-2022,13-01-2022,21450,CE,206.44,155710
12-01-2022,13-01-2022,21450,PE,134.61,177537
12-01-2022,13-01-2022,21500,CE,347.61,89909
12-01-2022,13-01-2022,21500,PE,206.92,241049
13-01-2022,13-01-2022,16750,CE,332.89,278692
13-01-2022,13-01-2022,16750,PE,13.12,181475
13-01-2022,13-01-2022,16800,CE,211.21,131919
13-01-2022,13-01-2022,16800,PE,13.76,72443
13-01-2022,13-01-2022,16850,CE,53.55,440426
13-01-2022,13-01-2022,16850,PE,366.38,363401
13-01-2022,13-01-2022,16900,CE,279.69,20331
13-01-2022,13-01-2022,16900,PE,74.35,172938
13-01-2022,13-01-2022,16950,CE,320.6,109083
13-01-2022,13-01-2022,16950,PE,71.57,168867
14-01-2022,20-01-2022,18650,CE,29.48,150599
14-01-2022,20-01-2022,18650,PE,69.93,172616
14-01-2022,20-01-2022,18700,CE,314.08,102990
14-01-2022,20-01-2022,18700,PE,250.59,239118
14-01-2022,20-01-2022,18750,CE,222.39,232956
14-01-2022,20-01-2022,18750,PE,202.84,216652
14-01-2022,20-01-2022,18800,CE,25.88,405550
14-01-2022,20-01-2022,18800,PE,184.88,397360
14-01-2022,20-01-2022,18850,CE,11.85,70732
14-01-2022,20-01-2022,18850,PE,380.21,184171
17-01-2022,20-01-2022,20600,CE,396.27,235200
17-01-2022,20-01-2022,20600,PE,253.76,29046
17-01-2022,20-01-2022,20650,CE,91.02,304212
17-01-2022,20-01-2022,20650,PE,284.11,390574
17-01-2022,20-01-2022,20700,CE,102.02,116756
17-01-2022,20-01-2022,20700,PE,20.66,355968
17-01-2022,20-01-2022,20750,CE,250,418964
17-01-2022,20-01-2022,20750,PE,84.3,409918
17-01-2022,20-01-2022,20800,CE,50.07,323569
17-01-2022,20-01-2022,20800,PE,117.52,414298
18-01-2022,20-01-2022,18850,CE,23.11,27756
18-01-2022,20-01-2022,18850,PE,238.07,254706
18-01-2022,20-01-2022,18900,CE,198.45,206901
18-01-2022,20-01-2022,18900,PE,379.01,253570
18-01-2022,20-01-2022,18950,CE,312.97,452673
18-01-2022,20-01-2022,18950,PE,100.29,291722
18-01-2022,20-01-2022,19000,CE,121.98,459927
18-01-2022,20-01-2022,19000,PE,246.38,192626
18-01-2022,20-01-2022,19050,CE,60.86,14588
18-01-2022,20-01-2022,19050,PE,178.84,468374
19-01-2022,20-01-2022,17800,CE,263.53,103808
19-01-2022,20-01-2022,17800,PE,259.35,341490
19-01-2022,20-01-2022,17850,CE,380.25,188246
19-01-2022,20-01-2022,17850,PE,206.8,325789
19-01-2022,20-01-2022,17900,CE,143.95,88565
19-01-2022,20-01-2022,17900,PE,393.58,405743
19-01-2022,20-01-2022,17950,CE,194.16,143706
19-01-2022,20-01-2022,17950,PE,261.57,164922
19-01-2022,20-01-2022,18000,CE,321.36,365001
19-01-2022,20-01-2022,18000,PE,96.96,13153
20-01-2022,20-01-2022,16750,CE,244.14,182757
20-01-2022,20-01-2022,16750,PE,189.46,194881
20-01-2022,20-01-2022,16800,CE,301.82,294260
20-01-2022,20-01-2022,16800,PE,102.19,188637
20-01-2022,20-01-2022,16850,CE,32.68,190755
20-01-2022,20-01-2022,16850,PE,240.4,153581
20-01-2022,20-01-2022,16900,CE,127.23,469635
20-01-2022,20-01-2022,16900,PE,46.65,137737
20-01-2022,20-01-2022,16950,CE,157.47,269728
20-01-2022,20-01-2022,16950,PE,138.69,196196
21-01-2022,27-01-2022,19350,CE,334.91,101119
21-01-2022,27-01-2022,19350,PE,267.59,190574
21-01-2022,27-01-2022,19400,CE,312.14,88295
21-01-2022,27-01-2022,19400,PE,46.96,194109
21-01-2022,27-01-2022,19450,CE,206.64,492025
21-01-2022,27-01-2022,19450,PE,313.06,142123
21-01-2022,27-01-2022,19500,CE,373.25,489170
21-01-2022,27-01-2022,19500,PE,371.88,107997
21-01-2022,27-01-2022,19550,CE,86.41,385373
21-01-2022,27-01-2022,19550,PE,113.47,370270
24-01-2022,27-01-2022,20350,CE,320.03,52479
24-01-2022,27-01-2022,20350,PE,70.37,58413
24-01-2022,27-01-2022,20400,CE,266.21,428305
24-01-2022,27-01-2022,20400,PE,266.41,147287
24-01-2022,27-01-2022,20450,CE,95.58,408405
24-01-2022,27-01-2022,20450,PE,15.07,192696
24-01-2022,27-01-2022,20500,CE,376.04,471888
24-01-2022,27-01-2022,20500,PE,368.16,98680
24-01-2022,27-01-2022,20550,CE,353.52,39330
24-01-2022,27-01-2022,20550,PE,242.27,492057
25-01-2022,27-01-2022,17400,CE,321.64,345839
25-01-2022,27-01-2022,17400,PE,376.69,494571
25-01-2022,27-01-2022,17450,CE,350.36,400039
25-01-2022,27-01-2022,17450,PE,371.02,160082
