Date,Expiry,Entry_Spot,Strike,Net_Premium_Paid,Lot_Size,Expiry_PnL,Regime
2022-01-03,2022-01-31,36000.0,36000,47.0,25,1325.0,Unknown
2022-02-01,2022-02-28,37100.0,37100,55.15,25,-1378.75,Unknown
2022-03-02,2022-03-31,37000.0,37000,22.85,25,-571.25,Unknown
2022-04-01,2022-04-29,35600.0,35600,-495.2,25,14880.0,Unknown
2022-05-02,2022-05-31,36600.0,36600,102.3,25,-2557.5,Unknown
2022-06-01,2022-06-30,34900.0,34900,12.05,25,-301.25,Unknown
2022-07-01,2022-07-29,33900.0,33900,658.9,25,-13972.5,Unknown
2022-08-01,2022-08-30,35700.0,35700,61.65,25,958.75,Unknown
2022-09-01,2022-09-30,37800.0,37800,97.05,25,73.75,Sideways
2022-10-03,2022-10-31,39000.0,39000,-1826.0,25,48150.0,Trending Up
2022-11-01,2022-11-30,39500.0,39500,-1125.95,25,30648.75,Trending Up
2022-12-01,2022-12-30,41500.0,41500,61.55,25,961.25,Sideways
2023-01-02,2023-01-31,42500.0,42500,159.8,25,-3995.0,Unknown
2023-02-01,2023-02-28,41400.0,41400,1203.05,25,-30076.25,Unknown
2023-03-01,2023-03-31,40800.0,40800,63.45,25,-1586.25,Unknown
2023-04-03,2023-04-28,40200.0,40200,49.95,25,1251.25,Trending Up
2023-05-02,2023-05-31,42000.0,42000,-6.3,25,2657.5,Sideways
2023-06-01,2023-06-30,43500.0,43500,68.25,25,793.75,Unknown
2023-07-03,2023-07-31,44100.0,44100,62.05,15,569.25,Unknown
2023-08-01,2023-08-31,45300.0,45300,64.05,15,-960.75,Trending Down
2023-09-01,2023-09-29,44400.0,44400,50.45,15,743.25,Sideways
2023-10-03,2023-10-31,45000.0,45000,-1078.35,15,16175.25,Trending Down
2023-11-01,2023-11-30,43500.0,43500,15.7,15,1264.5,Trending Up
2023-12-01,2023-12-29,43900.0,43900,-258.6,15,5379.0,Trending Up
2024-01-01,2024-01-31,47100.0,47100,-1072.45,15,16086.75,Unknown
2024-02-01,2024-02-29,46200.0,46200,48.25,15,776.25,Unknown
2024-03-01,2024-03-28,46300.0,46300,69.85,15,452.25,Sideways
2024-04-01,2024-04-30,46800.0,46800,-290.0,15,5850.0,Trending Up
2024-05-02,2024-05-31,48400.0,48400,74.7,15,-1120.5,Unknown
2024-06-03,2024-06-28,48800.0,48800,189.65,15,-1344.75,Unknown
2024-07-01,2024-07-31,51000.0,51000,-634.6,15,11019.0,Sideways
2024-08-01,2024-08-30,51400.0,51400,1296.4,15,-19446.0,Sideways
2024-09-02,2024-09-30,50850.0,50800,-127.7,15,3415.5,Unknown
2024-10-01,2024-10-31,52800.0,52800,62.45,15,-936.75,Unknown
2024-11-01,2024-11-29,52000.0,52000,-549.2,15,8238.0,Unknown
2024-12-02,2024-12-31,51850.0,51800,857.95,15,-12869.25,Sideways
