Date,Expiry,Entry_Spot,ATM_Strike,Premium_Received,Premium_Paid_To_Close,Lot_Size,Expiry_PnL,Regime
2022-01-03,2022-01-06,36000.0,36000,99.65,1393.6,25,-32348.75,Unknown
2022-01-10,2022-01-13,36400.0,36400,1273.25,-1857.35,25,78265.0,Unknown
2022-01-17,2022-01-20,37000.0,37000,101.65,1621.8,25,-38003.75,Unknown
2022-01-24,2022-01-27,37100.0,37100,-286.3,1150.7,25,-35925.0,Unknown
2022-01-31,2022-02-03,37100.0,37100,-600.85,27.25,25,-15702.5,Unknown
2022-02-07,2022-02-10,37500.0,37500,998.2,-1099.45,25,52441.25,Unknown
2022-02-14,2022-02-17,37600.0,37600,-1387.65,-490.1,25,-22438.75,Unknown
2022-02-21,2022-02-24,37600.0,37600,107.55,1469.7,25,-34053.75,Unknown
2022-02-28,2022-03-03,37000.0,37000,96.95,-1457.75,25,38867.5,Unknown
2022-03-07,2022-03-10,36300.0,36300,139.6,186.35,25,-1168.75,Unknown
2022-03-14,2022-03-17,35400.0,35400,-21.3,100.5,25,-3045.0,Unknown
2022-03-21,2022-03-24,35700.0,35700,84.75,-59.0,25,3593.75,Unknown
2022-03-28,2022-03-31,35500.0,35500,91.7,104.25,25,-313.75,Unknown
2022-04-04,2022-04-07,35900.0,35900,123.65,51.4,25,1806.25,Unknown
2022-04-18,2022-04-21,36900.0,36900,-821.0,88.2,25,-22730.0,Unknown
2022-04-25,2022-04-28,36600.0,36600,-210.05,35.8,25,-6146.25,Unknown
2022-05-02,2022-05-05,36600.0,36600,30.5,338.2,25,-7692.5,Unknown
2022-05-09,2022-05-12,35800.0,35800,1157.6,1820.35,25,-16568.75,Unknown
2022-05-16,2022-05-19,34900.0,34900,-296.1,25.15,25,-8031.25,Unknown
2022-05-23,2022-05-26,34700.0,34700,-1995.75,-195.6,25,-45003.75,Unknown
2022-05-30,2022-06-02,34900.0,34900,-3.6,148.55,25,-3803.75,Unknown
2022-06-06,2022-06-09,35000.0,35000,80.85,514.55,25,-10842.5,Unknown
2022-06-13,2022-06-16,35000.0,35000,947.45,46.8,25,22516.25,Unknown
2022-06-20,2022-06-23,34200.0,34200,84.45,249.85,25,-4135.0,Unknown
2022-06-27,2022-06-30,34200.0,34200,-688.55,-47.7,25,-16021.25,Unknown
2022-07-04,2022-07-07,33900.0,33900,690.45,349.3,25,8528.75,Unknown
2022-07-11,2022-07-14,34300.0,34300,-1299.6,257.6,25,-38930.0,Unknown
2022-07-18,2022-07-21,34500.0,34500,2910.4,77.3,25,70827.5,Unknown
2022-07-25,2022-07-28,35000.0,35000,-413.6,305.6,25,-17980.0,Unknown
2022-08-01,2022-08-04,35700.0,35700,96.55,692.5,25,-14898.75,Unknown
2022-08-08,2022-08-11,36100.0,36100,-399.3,-443.9,25,1115.0,Unknown
